feature_id,blank_1,blank_2,blank_3,blank_4,group1_1,group1_2,group1_3,group1_4,group2_1,group2_2,group2_3,group2_4,group3_1,group3_2,group3_3,group3_4,group4_1,group4_2,group4_3,group4_4
feature_42,422,268,284,602,542,756,770,810,612,1094,834,942,1284,934,1104,948,928,1162,1156,1084
feature_43,0,2816,2582,2598,2906,2570,3006,2680,3012,2854,3084,3240,3422,3572,3042,2768,3428,3164,3096,3310
feature_44,1186,1196,1194,1322,1240,1148,1174,1424,1218,1502,1328,1250,1194,1234,1492,1608,1388,1308,1350,1304
feature_45,552,600,536,718,672,1030,1032,928,1138,1502,1162,1232,1632,1322,1134,1268,1484,1396,1408,1444
feature_46,1762,1896,1326,1866,1748,1710,1676,1538,1688,1782,1588,1624,1656,1622,1670,1640,1592,1886,1942,1594
feature_47,1378,1582,1534,1428,1564,1530,1456,1424,1932,1524,1662,1660,1516,1560,1566,1588,1398,1444,1400,1524
feature_48,3028,2736,3016,2984,3202,3580,3022,3350,3192,3042,2964,3190,3026,3018,2538,3510,3408,3384,3054,3566
feature_49,1820,1754,2302,1686,1854,1872,1910,1710,1870,1836,1650,1846,1976,1928,1996,1728,2038,1904,1866,1630
feature_50,1172,1270,918,1156,1118,1216,1410,1142,1190,1212,1124,1188,1246,1174,1228,1460,1166,1082,1126,1346
feature_51,1280,1542,1774,1626,1880,1708,1798,1726,1600,1522,1840,1654,1676,1502,1726,1724,1596,1514,1402,1556
feature_52,1276,1396,1360,1480,1344,1406,1450,1370,1342,1438,1450,1556,1508,1382,1210,1622,1960,1324,1512,1286
feature_53,1258,1382,1302,1036,1342,1082,1556,1682,1318,1390,1512,1196,1314,1242,1420,1486,1764,1504,1300,1410
feature_54,172,704,304,624,694,762,814,908,248,836,784,920,736,826,950,956,642,1010,954,980
feature_55,1094,1008,974,996,1080,1054,902,938,966,936,1288,992,1086,994,934,1204,1384,1052,1122,1118
feature_56,974,1008,1018,726,994,1014,912,874,858,854,958,860,982,888,1036,976,1118,894,972,902
feature_57,0,1072,870,1030,1048,1064,912,1004,914,812,896,1022,904,824,1096,1162,1264,800,826,480
feature_58,1040,1104,1142,1374,1230,1286,1124,1368,1458,1278,1430,1174,1256,1240,1130,1238,1040,1464,1260,1258
feature_59,2160,2276,1918,2088,2430,2364,2242,1926,1964,2458,1874,2354,2202,2372,2170,2600,1926,1896,2092,2132
feature_60,1076,0,904,1078,1034,1094,1040,0,1140,1000,930,850,824,1024,1056,484,890,0,1016,948
feature_61,900,1074,1002,1028,1192,1350,1214,1400,1014,1324,998,1214,1190,986,1454,1450,1062,1262,1414,952
feature_62,492,780,682,506,762,570,576,754,566,1130,750,1098,850,758,858,830,642,980,978,1228
feature_63,1324,1204,1294,1180,1048,820,944,894,976,828,782,856,652,660,802,640,600,604,642,502
feature_64,0,0,0,0,0,0,0,0,54,0,0,0,1884,1150,1334,1112,1220,1072,1032,732
feature_65,970,834,1034,1034,990,884,926,910,1102,738,1010,1010,1130,1054,1150,930,1124,956,1006,936
feature_66,6570,7828,7984,7248,9280,9316,8174,9732,8228,9146,8860,9362,9294,11108,9156,10388,8846,9258,9796,9412
feature_67,2174,2930,2338,2996,3060,2926,2546,2738,3266,2670,2526,2964,3050,2638,3172,3106,2714,3310,2610,2866
feature_68,1298,1488,1360,1342,1462,1620,1388,1706,1474,1276,1662,1552,1470,1590,1530,1802,1438,1244,1434,1630
feature_69,3770,4262,4750,4536,4312,4848,4448,4604,3696,4220,4240,4412,4298,4458,4600,4694,3638,4372,4800,4942
feature_70,1432,898,840,1292,862,1024,872,818,1098,790,792,808,838,730,820,766,884,866,668,778
feature_71,3944,3978,3726,3794,4104,3634,3220,3574,3610,3688,3578,4176,4028,4000,3470,4104,3606,3444,3762,3448
feature_72,2676,1852,1830,1538,2070,1764,1916,1860,1526,1592,1498,1744,1684,1856,1468,1896,1604,1964,1634,1664
feature_73,0,0,0,0,0,0,0,0,0,0,0,0,1446,896,894,972,634,776,748,646
feature_74,0,1720,0,1420,0,0,0,1594,0,1310,1250,1460,0,0,1634,1410,0,1522,1528,0
feature_75,17272,22108,22652,27224,28998,32766,0,29916,28238,29184,27326,31936,25936,27282,27252,29346,22048,24068,28088,24550
feature_76,840,1154,676,970,872,858,844,808,740,1024,0,822,0,716,770,1078,816,780,870,760
feature_77,1248,1036,1356,1240,706,736,942,842,0,632,0,650,524,422,336,358,324,260,282,316
feature_78,678,1084,824,1002,0,0,0,0,0,716,754,590,1062,762,0,0,0,572,0,0
feature_79,216,214,420,0,3960,3036,4250,0,3060,1906,1866,2580,1508,1594,1564,2032,1632,1658,1742,1888
feature_80,0,0,0,0,1122,1350,990,974,846,770,966,744,1166,1204,836,978,1170,1016,1426,960
feature_81,0,0,474,0,874,784,680,974,950,894,702,860,902,630,910,1034,526,434,308,230
feature_82,0,0,0,0,660,676,720,622,580,678,468,578,1154,732,1274,840,708,668,306,460
feature_83,256,158,104,0,9410,7044,8388,8390,7404,7480,6984,7146,6342,6110,0,7198,5956,9252,8700,7108
feature_84,0,54,0,0,3322,1796,2472,1490,2414,1918,2076,1854,1306,2114,1400,1718,1984,2140,2258,2112
feature_85,0,0,0,0,8570,0,8510,0,7478,0,6582,6106,4532,7382,0,0,0,0,0,0
feature_86,0,0,0,0,1488,1804,2758,992,2462,1352,2854,1330,1802,1414,2122,2112,2976,1760,1624,0
feature_87,0,0,0,0,5078,1712,5930,1234,6780,2370,7332,3248,2798,2934,4010,2898,7598,4042,2650,6700
feature_88,0,0,0,0,4720,3380,0,3882,0,0,7572,0,8384,4634,0,7068,4438,3514,2698,0
feature_89,0,0,0,0,0,0,15336,0,14282,4810,13616,6510,6982,6476,10022,7088,0,7266,0,15870
feature_90,0,0,0,0,10666,6270,16680,5286,15984,9278,18604,8820,8144,6400,9526,8186,18344,9254,8494,14090
feature_91,0,0,0,0,1224,540,906,652,1272,1096,1060,1120,1084,922,0,1430,520,540,324,352
feature_92,0,0,0,0,3984,2278,6290,2218,8662,2498,6862,3578,3032,2770,3698,3060,8338,5086,3410,6692
feature_93,0,0,0,0,774,0,918,0,1118,0,444,1106,0,1054,598,1120,1050,0,476,0
feature_94,0,0,98,0,12702,7590,17712,5980,15954,6618,18390,10124,8082,9026,14072,9206,21372,11064,9910,20048
feature_95,0,0,0,0,27270,21782,0,24350,0,34422,58828,0,41774,29578,0,41944,32902,18990,14328,0
feature_96,250,112,96,460,0,135308,0,114726,0,155648,0,161900,0,168992,0,145036,0,0,199106,0
feature_97,74,0,0,0,2650,1756,2998,2182,3326,3194,3778,3012,3186,2562,4020,2854,2732,1412,1398,1026
feature_98,0,0,0,0,3544,0,6964,0,0,0,7358,0,3740,0,3876,0,0,4252,0,7322
feature_99,0,0,0,0,4594,0,4084,1290,0,1798,4798,2858,1998,2410,0,2252,6504,2992,2574,4878
feature_100,0,0,0,0,2280,1306,2302,1164,1860,1282,1470,1516,0,1718,834,1178,2392,2262,3312,2524
feature_101,0,0,0,84,6178,3298,5708,0,10138,6848,8252,5950,7006,4994,9684,6570,5206,3300,2402,3820
feature_102,0,128,0,0,0,17128,0,0,0,23296,0,20986,0,0,0,19698,18898,24150,29120,0
feature_103,0,0,0,0,638,546,806,710,1216,822,948,578,1408,728,1376,1068,614,388,474,668
feature_104,0,0,0,0,180958,0,143074,0,144666,0,153062,0,125058,0,90958,0,154236,170460,0,155936
feature_105,0,0,0,0,0,0,0,1186,0,0,0,2178,1904,2448,0,2264,0,0,0,0
feature_106,0,0,0,0,3704,2650,5566,1346,7782,2722,6662,2944,2036,3140,4952,2864,7584,3562,2960,6238
feature_107,0,0,0,0,7786,3196,12480,2976,19426,5936,16990,7600,6304,6708,8776,6088,14866,9012,6954,12836
feature_108,0,0,0,0,22684,16482,37468,11604,33852,15704,39434,21296,17612,20162,23426,19174,41458,24668,21024,41086
feature_109,0,0,0,0,7214,5094,10548,3378,11432,4674,12670,6556,5918,6766,7890,6018,15348,8390,7876,13676
feature_110,0,0,0,0,2560,914,3832,0,4732,2320,3496,0,0,0,1750,0,5048,3062,2638,3568
feature_111,0,0,0,0,0,0,32090,0,59164,0,0,38288,0,0,62538,0,0,0,0,17450
feature_112,0,0,0,0,568,380,848,548,1178,558,1224,918,846,1120,896,1190,1252,578,0,0
feature_113,0,100,302,0,0,0,6044,0,7532,5632,0,5624,0,0,9398,0,0,0,0,2824
feature_114,0,0,0,88,3378,1776,5204,1372,5320,2586,5714,3914,1844,2208,3730,2776,5304,3604,2746,5452
feature_115,0,0,0,0,1274,614,988,626,0,826,0,914,488,768,456,626,1332,0,0,1794
feature_116,0,0,0,0,398,474,466,394,1336,510,0,730,924,558,1000,1010,634,446,458,106
feature_117,0,0,0,0,1138,0,0,0,2056,0,0,0,1484,0,0,0,0,0,0,0
feature_118,0,0,0,0,2374,1846,4062,2436,4098,3846,3588,3238,3242,0,3592,2654,0,2306,0,1766
feature_119,0,0,0,0,480,290,592,436,996,732,0,714,1010,0,1026,950,568,484,0,0
feature_120,0,0,0,0,1372,812,1250,1210,1570,1340,1524,1308,844,1360,1206,1552,1348,930,788,1098
feature_121,0,0,0,78,0,202,0,696,1024,0,0,1100,290,1140,0,820,2000,0,2950,3302
feature_122,0,0,0,0,0,0,228,90,574,412,576,0,640,362,0,778,0,0,0,0
feature_123,0,0,0,0,1090,806,1048,798,1314,1060,1404,1142,984,1392,1048,1062,1270,710,634,824
feature_124,0,0,0,0,3030,0,2798,1504,2150,2378,2136,1642,0,1906,880,0,3126,2228,1974,2058
feature_125,0,0,0,0,0,0,3072,0,0,2854,1736,0,0,2926,0,0,3510,0,0,0
feature_126,0,0,0,0,0,0,0,0,616,326,408,328,504,0,898,658,0,0,0,0
feature_127,0,0,0,0,2694,1642,3050,1820,1892,1690,2358,1874,946,2642,850,2026,3042,3644,4764,4814
feature_128,0,0,0,0,420,318,310,644,934,546,978,514,628,628,1076,760,228,156,0,110
feature_129,0,0,0,0,2694,1642,3050,1164,1598,1786,2358,1778,972,2642,634,1370,3128,3644,4764,4814
feature_130,0,0,0,0,0,0,0,0,462,536,508,342,374,0,1104,456,0,0,0,0
feature_131,0,0,0,0,0,480,1736,0,0,1474,1340,1314,534,1300,0,266,1876,0,1634,1268
feature_132,0,0,0,0,1914,1396,2402,2164,3354,3012,2978,3572,2390,2232,2380,2966,2198,0,1070,956
feature_133,0,0,0,0,806,722,1328,880,1620,1110,2360,1354,980,902,1406,1126,1540,942,566,1992
feature_134,0,0,0,0,266,254,354,388,712,538,706,418,488,422,1096,532,300,100,0,70
feature_135,0,0,0,0,0,0,0,1944,2882,0,2920,0,0,0,0,0,2024,0,0,1848
feature_136,126,0,0,0,0,0,0,418,768,0,906,828,972,410,1460,748,0,0,0,0
feature_137,0,0,0,0,954,688,1014,654,0,0,0,1110,906,0,702,1596,1138,654,546,0
feature_138,0,0,0,0,982,508,1206,678,0,1044,1092,822,468,1026,530,1020,1170,1778,1150,1054
feature_139,0,0,0,0,3746,1266,0,1346,1794,0,1918,2668,1258,0,788,0,0,4032,0,3324
feature_140,0,0,0,0,1046,0,1076,770,0,1112,1176,1108,920,1438,844,1118,0,858,0,540
feature_141,0,0,0,0,0,0,0,2022,0,2450,0,0,0,0,1486,0,0,3182,0,3318
feature_142,0,0,0,0,692,648,0,570,800,0,846,0,660,688,966,0,0,0,0,0
feature_143,0,0,0,0,0,0,4912,0,4146,0,0,0,0,5450,0,4298,4742,3406,3992,0
feature_144,0,0,0,0,958,734,828,944,874,618,496,896,812,1034,740,1118,460,518,0,0
feature_145,0,0,0,0,778,472,848,762,1132,1110,0,842,624,880,1016,1394,1104,0,0,0
feature_146,0,0,0,0,1614,1446,1526,1692,1582,1452,1532,1536,1448,1684,1866,2094,1342,1088,1432,1386
feature_147,0,0,0,0,1332,734,952,804,716,576,924,1086,872,1204,1418,1088,794,632,484,674
feature_148,0,30,78,0,3476,3708,3138,2488,1512,1354,1340,1228,4234,5060,2566,3448,1638,1278,1554,696
feature_149,0,116,98,46,1304,0,1084,938,770,0,0,0,1200,1206,878,0,0,0,0,0
feature_150,0,0,0,0,532,0,578,0,0,0,0,958,806,906,1092,630,0,0,0,0
feature_151,0,0,0,0,682,902,0,472,0,316,352,310,1174,1112,1176,878,0,0,0,294
feature_152,0,0,0,0,980,1056,1024,800,352,398,524,298,1352,1456,738,746,592,390,616,420
feature_153,0,0,0,0,702,0,0,0,478,518,0,0,1564,1102,50,908,446,0,506,0
feature_154,58,0,0,0,0,250,176,0,0,0,662,0,0,0,0,0,0,0,0,208
feature_155,0,0,0,0,726,626,0,0,456,0,390,0,1058,0,1042,0,0,0,0,0
feature_156,0,0,0,46,1044,932,0,1228,864,0,0,0,1030,1108,820,0,670,328,754,0
feature_157,0,0,0,0,968,862,1064,864,1170,1292,992,806,844,766,0,558,1220,1174,1138,948
feature_158,0,0,0,0,792,338,664,0,686,0,646,700,0,604,888,874,0,412,400,544
feature_159,0,0,0,58,816,1070,860,0,0,348,0,0,1086,948,0,636,478,0,0,534
feature_160,0,0,0,0,0,1000,508,1336,0,162,0,0,1034,1278,1020,524,0,0,0,0
feature_161,0,0,0,168,932,1084,0,826,680,930,788,0,1320,972,1126,744,0,0,718,0
feature_162,0,0,0,0,0,0,404,0,526,230,0,0,696,0,694,0,0,0,0,0
feature_163,0,0,0,0,0,0,518,0,466,336,0,0,1644,966,1044,398,0,0,0,0
feature_164,96,152,60,0,902,1312,1116,0,0,0,0,0,2422,2146,1880,1270,0,0,0,0
feature_165,0,0,0,0,498,598,0,446,322,402,0,0,1368,0,0,0,0,0,318,0
feature_166,0,0,0,0,0,0,0,518,662,0,0,0,1080,0,698,0,0,0,0,0
feature_167,0,0,0,0,1120,744,868,904,0,0,0,0,0,706,0,0,0,334,0,0
feature_168,11242,9246,8256,10756,0,0,0,2378,0,0,0,0,2932,3318,7158,5912,0,0,0,0
feature_169,1294,2078,1074,1648,0,0,136,168,0,0,0,0,0,540,744,708,0,0,0,0
feature_170,0,0,30,0,1060,0,586,142,1300,1976,1512,1848,0,0,0,0,0,2202,1762,1512
feature_171,8206,8282,7092,7448,584,0,0,2732,0,0,0,0,4294,3770,6924,5144,0,0,0,0
feature_172,17806,18158,13994,15406,476,3558,2766,6872,406,0,0,0,8366,9640,13138,12824,0,0,0,0
feature_173,0,0,0,0,680,774,728,542,396,396,422,0,0,366,716,0,0,0,0,0
feature_174,200,288,440,612,0,1112,550,876,0,0,0,0,2748,2762,2334,1608,0,0,0,0
feature_175,0,0,0,0,738,1224,870,934,598,0,502,0,1236,1010,0,810,534,522,502,0
feature_176,90,180,0,316,760,1508,0,0,0,368,0,0,1388,1026,0,2472,0,0,694,0
feature_177,0,0,0,0,670,0,0,0,0,0,0,0,900,1946,1374,646,0,0,0,0
feature_178,0,152,0,0,0,1572,538,2700,0,0,0,0,0,866,676,0,0,0,0,0
feature_179,292,0,0,446,568,0,0,0,0,238,0,0,2474,1780,2052,0,0,0,0,0
feature_180,274,0,760,314,4158,1874,3012,818,28502,15140,34830,20560,170,464,580,1278,39418,39214,68888,28056
feature_181,0,0,0,0,1350,2172,2322,2238,0,0,0,996,0,856,2338,810,0,588,714,0
feature_182,0,0,0,0,0,0,0,440,0,0,0,0,476,862,0,0,0,0,0,0
feature_183,82,0,0,0,2994,2164,2710,4238,1186,1324,1292,0,702,2476,566,3178,1580,3670,1944,2600
feature_184,0,0,0,0,476,398,672,700,262,312,220,388,536,850,1350,2478,292,130,332,494
feature_185,0,0,0,0,0,0,90,0,0,0,0,0,478,678,0,0,0,0,0,0
feature_186,0,0,0,0,2572,0,2818,5044,722,582,0,1440,0,872,170,1762,0,1666,0,2508
feature_187,0,0,0,0,494,518,780,572,0,0,0,682,0,0,256,408,0,0,0,0
feature_188,0,0,0,0,562,318,636,498,1418,0,1078,0,526,568,158,48,918,1816,1480,1708
feature_189,0,0,0,0,1526,0,3624,0,0,0,0,2410,0,0,0,2114,0,586,0,0
feature_190,0,0,0,0,388,0,172,326,1008,1120,804,1262,0,196,0,0,1368,2202,1110,2142
feature_191,78,84,298,440,3112,1534,2164,4010,988,1574,958,1548,396,1376,0,3126,2036,6790,3280,3238
feature_192,0,0,0,0,990,0,854,0,0,0,0,0,0,2982,4716,5502,0,724,852,448
feature_193,182,0,594,360,186,440,172,802,0,0,0,0,180,758,926,1516,384,0,288,506
feature_194,0,0,0,0,568,642,826,386,0,0,0,0,184,336,1504,466,0,0,118,278
feature_195,0,0,0,0,3712,1554,2276,1106,1184,1830,2660,2106,236,764,106,286,1690,2470,1498,2186
feature_196,0,0,0,0,0,1614,0,2354,1810,1794,1696,1052,3166,0,0,0,1560,0,0,0
feature_197,0,0,0,0,1198,1598,1560,1580,0,0,0,590,0,522,756,630,0,134,0,0
feature_198,0,0,0,0,1504,2206,5038,2148,72,0,0,0,0,0,1852,934,0,520,0,0
feature_199,0,0,0,0,0,746,416,0,6838,0,5970,2144,0,0,0,0,2174,962,6740,0
feature_200,0,0,0,0,1282,1094,5042,2140,174,0,0,0,0,412,746,660,0,302,720,986
feature_201,0,0,0,0,1064,840,2274,1450,50,0,0,672,0,0,1016,640,0,0,584,0
feature_202,0,0,0,0,4516,0,0,6172,0,0,380,2136,0,1400,0,2664,0,1034,1038,1050
feature_203,0,0,0,0,0,424,868,0,0,0,0,2482,0,898,0,0,0,988,2700,1966
feature_204,0,0,0,0,3008,2076,4816,0,2320,3218,1906,7500,0,1468,3468,0,1900,1488,2526,1490
feature_205,0,0,0,0,0,3274,9998,0,0,0,0,0,0,0,3868,0,0,0,0,0
feature_206,0,0,298,0,6588,5400,4166,4234,2538,2400,2492,3094,2172,3366,1118,1708,3108,6094,4100,7822
feature_207,0,0,0,0,0,0,0,532,1024,1046,1356,5224,0,2044,958,3326,1176,912,2398,966
feature_208,0,0,0,0,42570,28668,43622,36164,7590,8266,9114,11602,6408,10928,9426,8506,14390,21080,17388,0
feature_209,0,0,0,0,820,466,1218,700,1652,1368,1544,1182,0,402,108,708,1512,2040,2006,5022
feature_210,0,0,0,0,3410,22268,12982,0,6500,2648,10198,0,0,4014,0,0,6768,1266,0,0
feature_211,0,0,0,0,1194,770,1266,684,12556,17734,15858,20548,162,1216,0,790,27088,42804,24034,50176
feature_212,0,0,0,0,0,330,0,0,216,588,0,0,0,1818,664,2284,520,414,1836,500
feature_213,0,0,0,0,564,296,440,338,724,1090,888,1140,0,98,0,0,1298,1452,860,1362
feature_214,0,0,0,0,998,998,2670,1760,3686,3894,3776,11144,0,1822,1714,3256,3414,2514,5958,2224
feature_215,0,0,0,0,41172,27898,57594,33166,37466,49106,32874,58196,8448,25368,43186,33748,26818,15350,26392,11958
feature_216,0,0,0,0,0,0,0,386,0,0,0,122,0,0,1076,886,0,0,0,0
feature_217,0,0,0,0,512,606,1672,0,714,798,1362,5612,0,888,574,1794,1370,1802,9284,4474
feature_218,0,0,0,0,10566,11180,17678,12440,5204,5070,4834,0,3316,13056,10550,13380,7290,6842,12230,6250
feature_219,0,0,0,0,0,0,0,1694,0,0,0,3336,0,0,3732,4434,0,0,6502,2288
feature_220,0,0,0,0,22820,12766,47934,21312,6800,8568,8564,28444,1146,8776,12320,17632,11974,15008,36158,23238
feature_221,0,0,0,0,542,1172,1772,1432,2880,3914,2330,7764,740,3592,2580,3990,2206,0,4134,2300
feature_222,0,0,0,0,2874,0,0,2082,3188,0,0,0,0,0,0,0,0,3534,0,4556
feature_223,0,0,0,0,8828,0,9072,5136,13136,16048,14822,16998,378,804,120,352,13854,15288,0,0
feature_224,0,0,0,0,0,0,0,0,22336,22818,22812,24498,638,0,224,1270,0,26312,18862,20504
feature_225,0,0,0,0,776,922,1038,1102,1120,1172,772,894,940,1706,3922,1206,408,232,708,398
feature_226,0,0,0,0,0,0,0,158,2200,2498,2372,3138,0,0,0,0,1114,3172,2240,2438
feature_227,1978,1952,1234,1316,938,1140,960,582,208,442,226,238,996,1174,0,740,726,480,286,336
feature_228,0,0,0,0,0,0,766,2240,0,0,0,10520,0,0,6062,6784,0,0,34940,16430
feature_229,0,0,0,0,5298,4628,0,0,2294,3132,1962,0,11480,5974,0,0,3226,972,0,0
feature_230,0,0,0,0,284,0,0,634,1878,1406,2120,1444,214,0,0,0,2786,1946,2638,2842
feature_231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,1144,0
feature_232,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,100,12752,0
feature_233,0,0,0,0,978,620,768,502,190,0,0,0,0,632,216,588,0,0,0,0
feature_234,0,0,0,106,408,456,292,388,252,508,232,372,596,662,770,644,354,178,276,0
feature_235,0,0,0,0,0,0,0,1376,0,0,0,5872,0,0,4396,4328,0,0,0,4476
feature_236,0,0,0,0,566,1082,1582,2136,394,646,770,2048,332,652,878,2214,754,1578,0,3128
feature_237,0,180,0,0,3340,2340,0,2064,4148,4234,3986,3744,738,0,0,0,0,4534,3104,3852
feature_238,0,0,146,0,782,576,942,588,1234,982,1664,1072,0,302,138,184,2564,1806,2466,1824
feature_239,0,0,0,0,696,598,4238,1272,852,420,848,2852,0,0,0,1124,840,846,4448,0
feature_240,0,0,0,0,0,1954,3480,2546,0,0,670,0,882,1814,2806,2316,866,590,0,0
feature_241,0,0,0,0,1794,0,5608,5120,2390,1740,2678,5844,0,540,1974,0,1548,2212,0,3192
feature_242,0,0,0,0,0,0,0,0,564,392,0,1914,0,0,392,526,516,422,2386,1702
feature_243,0,0,0,0,590,320,514,514,2340,2004,1804,2742,0,224,0,302,1760,3106,3030,2634
feature_244,0,0,0,0,0,0,0,524,0,0,0,0,0,0,526,1254,0,0,10466,4594
feature_245,262,316,0,724,6716,5454,4248,0,15778,0,17158,4816,16450,0,15812,0,2244,4440,3124,1198
feature_246,0,0,0,0,2276,2572,5896,0,2258,2022,2386,4852,0,2298,0,0,2738,1272,0,0
feature_247,0,0,0,0,538,546,866,506,2146,2152,2152,2662,0,244,90,242,3546,5262,4214,6142
feature_248,0,0,0,0,1002,1372,2318,2534,1464,1996,1650,3722,682,1504,1886,0,906,0,0,1548
feature_249,0,0,0,0,532,432,792,558,1000,558,1070,734,0,0,0,0,1460,3736,2026,3688
feature_250,0,0,0,0,0,458,3102,2646,948,814,1302,5118,158,0,948,1170,710,926,2818,0
feature_251,0,0,0,0,570,0,0,0,0,0,532,0,638,1080,836,0,0,0,0,0
feature_252,0,0,0,0,0,0,0,0,0,0,0,0,0,2152,0,1518,0,0,0,0
feature_253,0,0,0,0,3558,2924,12256,3162,1066,662,1452,2586,500,516,874,476,930,2830,2136,6922
