sample_id,phenotype
genotype32_rep6,control
genotype32_rep7,control
genotype32_rep8,control
genotype32_rep9,control
genotype32_rep10,control
genotype32_rep11,control
genotype33_rep1.x,control
genotype33_rep2.x,control
genotype33_rep3.x,control
genotype33_rep4.x,control
genotype34_rep1.x,control
genotype34_rep2.x,control
genotype34_rep3.x,control
genotype34_rep4.x,control
genotype34_rep5.x,control
genotype34_rep6.x,control
genotype34_rep7.x,control
genotype34_rep8.x,control
genotype34_rep9.x,control
genotype35_rep1.x,control
genotype35_rep2.x,control
genotype35_rep3.x,control
genotype35_rep4.x,control
genotype35_rep5.x,control
genotype35_rep6.x,control
genotype35_rep7.x,control
genotype35_rep8.x,control
genotype36_rep1.x,control
genotype36_rep2.x,control
genotype36_rep3.x,control
genotype36_rep4.x,control
genotype33_rep1.y,control
genotype33_rep2.y,control
genotype33_rep3.y,control
genotype33_rep4.y,control
genotype33_rep5,control
genotype33_rep6,control
genotype33_rep7,control
genotype33_rep8,control
genotype34_rep1.y,control
genotype34_rep2.y,control
genotype34_rep3.y,control
genotype34_rep4.y,control
genotype34_rep5.y,control
genotype34_rep6.y,control
genotype34_rep7.y,control
genotype34_rep8.y,control
genotype34_rep9.y,control
genotype34_rep10,control
genotype34_rep11,control
genotype34_rep12,control
genotype34_rep13,control
genotype34_rep14,control
genotype35_rep1.y,control
genotype35_rep2.y,control
genotype35_rep3.y,control
genotype35_rep4.y,control
genotype35_rep5.y,control
genotype35_rep6.y,control
genotype35_rep7.y,control
genotype35_rep8.y,control
genotype35_rep9,control
genotype35_rep10,control
genotype36_rep1.y,control
genotype36_rep2.y,control
genotype36_rep3.y,control
genotype36_rep4.y,control
genotype36_rep5,control
genotype36_rep6,control
genotype36_rep7,control
genotype36_rep8,control
genotype36_rep9,control
genotype36_rep10,control
genotype36_rep11,control
genotype36_rep12,control
genotype36_rep13,control
genotype36_rep14,control
genotype36_rep15,control
genotype37_rep1,control
genotype37_rep2,control
genotype37_rep3,control
genotype37_rep4,control
genotype37_rep5,control
genotype37_rep6,control
genotype37_rep7,control
genotype37_rep8,control
genotype38_rep1,control
genotype38_rep2,control
genotype38_rep3,control
genotype38_rep4,control
genotype38_rep5,control
genotype38_rep6,control
genotype38_rep7,control
genotype38_rep8,control
genotype38_rep9,control
genotype38_rep10,control
genotype38_rep11,control
genotype38_rep12,control
genotype39_rep1,stress
genotype39_rep2,stress
genotype39_rep3,stress
genotype39_rep4,stress
genotype39_rep5,stress
genotype39_rep6,stress
genotype39_rep7,stress
genotype39_rep8,stress
genotype39_rep9,stress
genotype40_rep1,stress
genotype40_rep2,stress
genotype40_rep3,stress
genotype40_rep4,stress
genotype40_rep5,stress
genotype41_rep1,stress
genotype41_rep2,stress
genotype41_rep3,stress
genotype41_rep4,stress
genotype41_rep5,stress
genotype41_rep6,stress
genotype41_rep7,stress
genotype41_rep8,stress
genotype41_rep9,stress
genotype41_rep10,stress
genotype41_rep11,stress
genotype41_rep12,stress
genotype41_rep13,stress
genotype41_rep14,stress
genotype42_rep1,stress
genotype42_rep2,stress
genotype42_rep3,stress
genotype42_rep4,stress
genotype42_rep5,stress
genotype42_rep6,stress
genotype42_rep7,stress
genotype42_rep8,stress
genotype42_rep9,stress
genotype43_rep1,stress
genotype43_rep2,stress
genotype43_rep3,stress
genotype43_rep4,stress
genotype43_rep5,stress
genotype43_rep6,stress
genotype43_rep7,stress
genotype43_rep8,stress
genotype43_rep9,stress
genotype43_rep10,stress
genotype43_rep11,stress
genotype43_rep12,stress
genotype43_rep13,stress
genotype43_rep14,stress
genotype44_rep1,stress
genotype44_rep2,stress
genotype44_rep3,stress
genotype44_rep4,stress
genotype44_rep5,stress
genotype44_rep6,stress
genotype45_rep1,stress
genotype45_rep2,stress
genotype45_rep3,stress
genotype45_rep4,stress
genotype46_rep1,stress
genotype46_rep2,stress
genotype46_rep3,stress
genotype46_rep4,stress
genotype46_rep5,stress
genotype46_rep6,stress
genotype46_rep7,stress
genotype46_rep8,stress
genotype46_rep9,stress
genotype46_rep10,stress
genotype46_rep11,stress
genotype46_rep12,stress
genotype46_rep13,stress
genotype46_rep14,stress
genotype46_rep15,stress
genotype46_rep16,stress
genotype47_rep1,stress
genotype47_rep2,stress
genotype47_rep3,stress
genotype47_rep4,stress
genotype47_rep5,stress
genotype47_rep6,stress
genotype47_rep7,stress
genotype47_rep8,stress
genotype47_rep9,stress
genotype47_rep10,stress
genotype47_rep11,stress
genotype47_rep12,stress
genotype47_rep13,stress
genotype47_rep14,stress
genotype47_rep15,stress
genotype47_rep16,stress
genotype47_rep17,stress
genotype47_rep18,stress
genotype47_rep19,stress
genotype47_rep20,stress
genotype47_rep21,stress
genotype47_rep22,stress
genotype47_rep23,stress
genotype47_rep24,stress
genotype47_rep25,stress
genotype47_rep26,stress
genotype47_rep27,stress
genotype48_rep1,stress
genotype48_rep2,stress
genotype48_rep3,stress
genotype48_rep4,stress
genotype48_rep5,stress
genotype48_rep6,stress
genotype48_rep7,stress
genotype49_rep1,stress
genotype49_rep2,stress
genotype49_rep3,stress
genotype49_rep4,stress
genotype49_rep5,stress
genotype49_rep6,stress
genotype50_rep1,stress
genotype50_rep2,stress
genotype50_rep3,stress
genotype50_rep4,stress
genotype50_rep5,stress
genotype50_rep6,stress
genotype50_rep7,stress
genotype50_rep8,stress
genotype50_rep9,stress
genotype50_rep10,stress
genotype50_rep11,stress
genotype50_rep12,stress
genotype50_rep13,stress
genotype50_rep14,stress
genotype50_rep15,stress
genotype50_rep16,stress
genotype50_rep17,stress
genotype50_rep18,stress
genotype50_rep19,stress
genotype50_rep20,stress
genotype51_rep1,stress
genotype51_rep2,stress
genotype51_rep3,stress
genotype51_rep4,stress
genotype51_rep5,stress
genotype51_rep6,stress
genotype51_rep7,stress
genotype51_rep8,stress
genotype51_rep9,stress
genotype51_rep10,stress
genotype51_rep11,stress
genotype51_rep12,stress
genotype51_rep13,stress
genotype52_rep1,stress
genotype52_rep2,stress
genotype52_rep3,stress
genotype52_rep4,stress
genotype52_rep5,stress
genotype52_rep6,stress
genotype52_rep7,stress
genotype52_rep8,stress
genotype52_rep9,stress
genotype52_rep10,stress
genotype52_rep11,stress
genotype52_rep12,stress
genotype52_rep13,stress
genotype52_rep14,stress
genotype53_rep1,stress
genotype53_rep2,stress
genotype53_rep3,stress
genotype53_rep4,stress
genotype53_rep5,stress
genotype53_rep6,stress
genotype53_rep7,stress
genotype53_rep8,stress
genotype53_rep9,stress
genotype54_rep1,stress
genotype54_rep2,stress
genotype54_rep3,stress
genotype54_rep4,stress
genotype54_rep5,stress
genotype54_rep6,stress
genotype54_rep7,stress
genotype54_rep8,stress
genotype54_rep9,stress
genotype54_rep10,stress
genotype54_rep11,stress
genotype55_rep1,stress
genotype55_rep2,stress
genotype55_rep3,stress
genotype55_rep4,stress
genotype55_rep5,stress
genotype55_rep6,stress
genotype55_rep7,stress
genotype55_rep8,stress
genotype55_rep9,stress
genotype55_rep10,stress
genotype56_rep1,stress
genotype56_rep2,stress
genotype56_rep3,stress
genotype56_rep4,stress
genotype56_rep5,stress
genotype56_rep6,stress
genotype56_rep7,stress
genotype56_rep8,stress
genotype56_rep9,stress
genotype56_rep10,stress
genotype56_rep11,stress
genotype56_rep12,stress
genotype57_rep1,stress
genotype57_rep2,stress
genotype57_rep3,stress
genotype57_rep4,stress
genotype57_rep5,stress
genotype57_rep6,stress
genotype57_rep7,stress
genotype57_rep8,stress
genotype57_rep9,stress
genotype58_rep1,stress
genotype58_rep2,stress
genotype58_rep3,stress
genotype58_rep4,stress
genotype58_rep5,stress
genotype58_rep6,stress
genotype59_rep1,stress
genotype59_rep2,stress
genotype59_rep3,stress
genotype59_rep4,stress
genotype59_rep5,stress
genotype59_rep6,stress
genotype60_rep1,stress
genotype60_rep2,stress
genotype60_rep3,stress
genotype60_rep4,stress
genotype60_rep5,stress
genotype62_rep1,stress
genotype62_rep2,stress
genotype62_rep3,stress
genotype62_rep4,stress
genotype62_rep5,stress
genotype62_rep6,stress
genotype62_rep7,stress
