stream,area,day,stage,number
bunderbosbeek,limburg,211,third_instar,46
bunderbosbeek,limburg,221,third_instar,56
bunderbosbeek,limburg,231,third_instar,47
bunderbosbeek,limburg,241,third_instar,26
bunderbosbeek,limburg,251,third_instar,13
bunderbosbeek,limburg,1,fourth_instar,0
bunderbosbeek,limburg,11,fourth_instar,0
bunderbosbeek,limburg,21,fourth_instar,0
bunderbosbeek,limburg,31,fourth_instar,0
bunderbosbeek,limburg,41,fourth_instar,0
bunderbosbeek,limburg,51,fourth_instar,0
bunderbosbeek,limburg,61,fourth_instar,0
bunderbosbeek,limburg,71,fourth_instar,0
bunderbosbeek,limburg,81,fourth_instar,0
bunderbosbeek,limburg,91,fourth_instar,0
bunderbosbeek,limburg,101,fourth_instar,0
bunderbosbeek,limburg,111,fourth_instar,0
bunderbosbeek,limburg,121,fourth_instar,0
bunderbosbeek,limburg,131,fourth_instar,0
bunderbosbeek,limburg,141,fourth_instar,2
bunderbosbeek,limburg,151,fourth_instar,30
bunderbosbeek,limburg,161,fourth_instar,42
bunderbosbeek,limburg,171,fourth_instar,45
bunderbosbeek,limburg,181,fourth_instar,49
bunderbosbeek,limburg,191,fourth_instar,41
bunderbosbeek,limburg,201,fourth_instar,34
bunderbosbeek,limburg,211,fourth_instar,26
bunderbosbeek,limburg,221,fourth_instar,20
bunderbosbeek,limburg,231,fourth_instar,14
bunderbosbeek,limburg,241,fourth_instar,17
bunderbosbeek,limburg,251,fourth_instar,21
oude_beek,veluwe,1,eggs,0
oude_beek,veluwe,11,eggs,361
oude_beek,veluwe,21,eggs,892
oude_beek,veluwe,31,eggs,1344
oude_beek,veluwe,41,eggs,1620
oude_beek,veluwe,51,eggs,1621
oude_beek,veluwe,61,eggs,1621
oude_beek,veluwe,71,eggs,1621
oude_beek,veluwe,81,eggs,1621
oude_beek,veluwe,91,eggs,1621
oude_beek,veluwe,101,eggs,1612
oude_beek,veluwe,111,eggs,1578
oude_beek,veluwe,121,eggs,1548
oude_beek,veluwe,131,eggs,1183
oude_beek,veluwe,141,eggs,682
oude_beek,veluwe,151,eggs,257
oude_beek,veluwe,161,eggs,0
oude_beek,veluwe,171,eggs,0
oude_beek,veluwe,181,eggs,0
oude_beek,veluwe,191,eggs,0
oude_beek,veluwe,201,eggs,0
oude_beek,veluwe,211,eggs,0
oude_beek,veluwe,221,eggs,0
oude_beek,veluwe,231,eggs,0
oude_beek,veluwe,241,eggs,0
oude_beek,veluwe,251,eggs,0
oude_beek,veluwe,1,first_instar,0
oude_beek,veluwe,11,first_instar,0
oude_beek,veluwe,21,first_instar,0
oude_beek,veluwe,31,first_instar,0
oude_beek,veluwe,41,first_instar,110
oude_beek,veluwe,51,first_instar,440
oude_beek,veluwe,61,first_instar,723
oude_beek,veluwe,71,first_instar,777
oude_beek,veluwe,81,first_instar,777
oude_beek,veluwe,91,first_instar,777
oude_beek,veluwe,101,first_instar,494
oude_beek,veluwe,111,first_instar,632
oude_beek,veluwe,121,first_instar,750
oude_beek,veluwe,131,first_instar,777
oude_beek,veluwe,141,first_instar,758
oude_beek,veluwe,151,first_instar,510
oude_beek,veluwe,161,first_instar,342
oude_beek,veluwe,171,first_instar,214
oude_beek,veluwe,181,first_instar,50
oude_beek,veluwe,191,first_instar,0
oude_beek,veluwe,201,first_instar,0
oude_beek,veluwe,211,first_instar,0
oude_beek,veluwe,221,first_instar,0
oude_beek,veluwe,231,first_instar,0
oude_beek,veluwe,241,first_instar,0
oude_beek,veluwe,251,first_instar,0
oude_beek,veluwe,1,second_instar,0
oude_beek,veluwe,11,second_instar,0
oude_beek,veluwe,21,second_instar,0
oude_beek,veluwe,31,second_instar,0
oude_beek,veluwe,41,second_instar,0
oude_beek,veluwe,51,second_instar,0
oude_beek,veluwe,61,second_instar,2
oude_beek,veluwe,71,second_instar,194
oude_beek,veluwe,81,second_instar,408
oude_beek,veluwe,91,second_instar,593
oude_beek,veluwe,101,second_instar,511
oude_beek,veluwe,111,second_instar,473
oude_beek,veluwe,121,second_instar,441
oude_beek,veluwe,131,second_instar,486
oude_beek,veluwe,141,second_instar,571
oude_beek,veluwe,151,second_instar,466
oude_beek,veluwe,161,second_instar,333
oude_beek,veluwe,171,second_instar,286
oude_beek,veluwe,181,second_instar,302
oude_beek,veluwe,191,second_instar,243
oude_beek,veluwe,201,second_instar,163
oude_beek,veluwe,211,second_instar,71
oude_beek,veluwe,221,second_instar,0
oude_beek,veluwe,231,second_instar,0
oude_beek,veluwe,241,second_instar,0
oude_beek,veluwe,251,second_instar,0
oude_beek,veluwe,1,third_instar,0
oude_beek,veluwe,11,third_instar,0
oude_beek,veluwe,21,third_instar,0
oude_beek,veluwe,31,third_instar,0
oude_beek,veluwe,41,third_instar,0
oude_beek,veluwe,51,third_instar,0
oude_beek,veluwe,61,third_instar,0
oude_beek,veluwe,71,third_instar,0
oude_beek,veluwe,81,third_instar,0
oude_beek,veluwe,91,third_instar,0
oude_beek,veluwe,101,third_instar,49
oude_beek,veluwe,111,third_instar,156
oude_beek,veluwe,121,third_instar,249
oude_beek,veluwe,131,third_instar,331
oude_beek,veluwe,141,third_instar,377
oude_beek,veluwe,151,third_instar,303
oude_beek,veluwe,161,third_instar,247
oude_beek,veluwe,171,third_instar,255
oude_beek,veluwe,181,third_instar,263
oude_beek,veluwe,191,third_instar,259
oude_beek,veluwe,201,third_instar,244
oude_beek,veluwe,211,third_instar,239
oude_beek,veluwe,221,third_instar,224
oude_beek,veluwe,231,third_instar,157
oude_beek,veluwe,241,third_instar,70
oude_beek,veluwe,251,third_instar,41
oude_beek,veluwe,1,fourth_instar,0
oude_beek,veluwe,11,fourth_instar,0
oude_beek,veluwe,21,fourth_instar,0
oude_beek,veluwe,31,fourth_instar,0
oude_beek,veluwe,41,fourth_instar,0
oude_beek,veluwe,51,fourth_instar,0
oude_beek,veluwe,61,fourth_instar,0
oude_beek,veluwe,71,fourth_instar,0
oude_beek,veluwe,81,fourth_instar,0
oude_beek,veluwe,91,fourth_instar,0
oude_beek,veluwe,101,fourth_instar,0
oude_beek,veluwe,111,fourth_instar,0
oude_beek,veluwe,121,fourth_instar,0
oude_beek,veluwe,131,fourth_instar,0
oude_beek,veluwe,141,fourth_instar,5
oude_beek,veluwe,151,fourth_instar,58
oude_beek,veluwe,161,fourth_instar,96
oude_beek,veluwe,171,fourth_instar,133
oude_beek,veluwe,181,fourth_instar,160
oude_beek,veluwe,191,fourth_instar,152
oude_beek,veluwe,201,fourth_instar,136
oude_beek,veluwe,211,fourth_instar,139
oude_beek,veluwe,221,fourth_instar,144
oude_beek,veluwe,231,fourth_instar,146
oude_beek,veluwe,241,fourth_instar,113
oude_beek,veluwe,251,fourth_instar,100
seelbeek,veluwe,1,eggs,0
seelbeek,veluwe,11,eggs,361
seelbeek,veluwe,21,eggs,892
seelbeek,veluwe,31,eggs,1344
seelbeek,veluwe,41,eggs,1538
seelbeek,veluwe,51,eggs,1393
seelbeek,veluwe,61,eggs,1247
seelbeek,veluwe,71,eggs,1201
seelbeek,veluwe,81,eggs,1284
seelbeek,veluwe,91,eggs,1366
seelbeek,veluwe,101,eggs,1419
seelbeek,veluwe,111,eggs,1434
seelbeek,veluwe,121,eggs,1470
seelbeek,veluwe,131,eggs,1167
seelbeek,veluwe,141,eggs,686
seelbeek,veluwe,151,eggs,265
seelbeek,veluwe,161,eggs,0
seelbeek,veluwe,171,eggs,0
seelbeek,veluwe,181,eggs,0
seelbeek,veluwe,191,eggs,0
seelbeek,veluwe,201,eggs,0
seelbeek,veluwe,211,eggs,0
seelbeek,veluwe,221,eggs,0
seelbeek,veluwe,231,eggs,0
seelbeek,veluwe,241,eggs,0
seelbeek,veluwe,251,eggs,0
seelbeek,veluwe,1,first_instar,0
seelbeek,veluwe,11,first_instar,0
seelbeek,veluwe,21,first_instar,0
seelbeek,veluwe,31,first_instar,0
seelbeek,veluwe,41,first_instar,83
seelbeek,veluwe,51,first_instar,417
seelbeek,veluwe,61,first_instar,536
seelbeek,veluwe,71,first_instar,407
seelbeek,veluwe,81,first_instar,503
seelbeek,veluwe,91,first_instar,391
seelbeek,veluwe,101,first_instar,497
seelbeek,veluwe,111,first_instar,613
seelbeek,veluwe,121,first_instar,670
seelbeek,veluwe,131,first_instar,682
seelbeek,veluwe,141,first_instar,686
seelbeek,veluwe,151,first_instar,702
seelbeek,veluwe,161,first_instar,626
seelbeek,veluwe,171,first_instar,323
seelbeek,veluwe,181,first_instar,52
seelbeek,veluwe,191,first_instar,0
seelbeek,veluwe,201,first_instar,0
seelbeek,veluwe,211,first_instar,0
seelbeek,veluwe,221,first_instar,0
seelbeek,veluwe,231,first_instar,0
seelbeek,veluwe,241,first_instar,0
seelbeek,veluwe,251,first_instar,0
seelbeek,veluwe,1,second_instar,0
seelbeek,veluwe,11,second_instar,0
seelbeek,veluwe,21,second_instar,0
seelbeek,veluwe,31,second_instar,0
seelbeek,veluwe,41,second_instar,0
seelbeek,veluwe,51,second_instar,0
seelbeek,veluwe,61,second_instar,0
seelbeek,veluwe,71,second_instar,77
seelbeek,veluwe,81,second_instar,171
seelbeek,veluwe,91,second_instar,200
seelbeek,veluwe,101,second_instar,248
seelbeek,veluwe,111,second_instar,294
seelbeek,veluwe,121,second_instar,361
seelbeek,veluwe,131,second_instar,459
seelbeek,veluwe,141,second_instar,546
seelbeek,veluwe,151,second_instar,587
seelbeek,veluwe,161,second_instar,607
seelbeek,veluwe,171,second_instar,614
seelbeek,veluwe,181,second_instar,629
seelbeek,veluwe,191,second_instar,463
seelbeek,veluwe,201,second_instar,269
seelbeek,veluwe,211,second_instar,95
seelbeek,veluwe,221,second_instar,0
seelbeek,veluwe,231,second_instar,0
seelbeek,veluwe,241,second_instar,0
seelbeek,veluwe,251,second_instar,0
seelbeek,veluwe,1,third_instar,0
seelbeek,veluwe,11,third_instar,0
seelbeek,veluwe,21,third_instar,0
seelbeek,veluwe,31,third_instar,0
seelbeek,veluwe,41,third_instar,0
seelbeek,veluwe,51,third_instar,0
seelbeek,veluwe,61,third_instar,0
seelbeek,veluwe,71,third_instar,0
seelbeek,veluwe,81,third_instar,0
seelbeek,veluwe,91,third_instar,0
seelbeek,veluwe,101,third_instar,17
seelbeek,veluwe,111,third_instar,57
seelbeek,veluwe,121,third_instar,110
seelbeek,veluwe,131,third_instar,148
seelbeek,veluwe,141,third_instar,193
seelbeek,veluwe,151,third_instar,244
seelbeek,veluwe,161,third_instar,295
seelbeek,veluwe,171,third_instar,361
seelbeek,veluwe,181,third_instar,415
seelbeek,veluwe,191,third_instar,447
seelbeek,veluwe,201,third_instar,468
seelbeek,veluwe,211,third_instar,478
seelbeek,veluwe,221,third_instar,429
seelbeek,veluwe,231,third_instar,303
seelbeek,veluwe,241,third_instar,192
seelbeek,veluwe,251,third_instar,79
seelbeek,veluwe,1,fourth_instar,0
seelbeek,veluwe,11,fourth_instar,0
seelbeek,veluwe,21,fourth_instar,0
seelbeek,veluwe,31,fourth_instar,0
seelbeek,veluwe,41,fourth_instar,0
seelbeek,veluwe,51,fourth_instar,0
seelbeek,veluwe,61,fourth_instar,0
seelbeek,veluwe,71,fourth_instar,0
seelbeek,veluwe,81,fourth_instar,0
seelbeek,veluwe,91,fourth_instar,0
seelbeek,veluwe,101,fourth_instar,0
seelbeek,veluwe,111,fourth_instar,0
seelbeek,veluwe,121,fourth_instar,0
seelbeek,veluwe,131,fourth_instar,0
seelbeek,veluwe,141,fourth_instar,1
seelbeek,veluwe,151,fourth_instar,25
seelbeek,veluwe,161,fourth_instar,52
seelbeek,veluwe,171,fourth_instar,76
seelbeek,veluwe,181,fourth_instar,101
seelbeek,veluwe,191,fourth_instar,125
seelbeek,veluwe,201,fourth_instar,152
seelbeek,veluwe,211,fourth_instar,189
seelbeek,veluwe,221,fourth_instar,222
seelbeek,veluwe,231,fourth_instar,246
seelbeek,veluwe,241,fourth_instar,257
seelbeek,veluwe,251,fourth_instar,242
strabekervloedgraaf,limburg,1,eggs,0
strabekervloedgraaf,limburg,11,eggs,361
strabekervloedgraaf,limburg,21,eggs,892
strabekervloedgraaf,limburg,31,eggs,1344
strabekervloedgraaf,limburg,41,eggs,1620
strabekervloedgraaf,limburg,51,eggs,1621
strabekervloedgraaf,limburg,61,eggs,1621
strabekervloedgraaf,limburg,71,eggs,1621
strabekervloedgraaf,limburg,81,eggs,1621
strabekervloedgraaf,limburg,91,eggs,1596
strabekervloedgraaf,limburg,101,eggs,1531
strabekervloedgraaf,limburg,111,eggs,1475
strabekervloedgraaf,limburg,121,eggs,1455
strabekervloedgraaf,limburg,131,eggs,1150
strabekervloedgraaf,limburg,141,eggs,676
strabekervloedgraaf,limburg,151,eggs,267
strabekervloedgraaf,limburg,161,eggs,0
strabekervloedgraaf,limburg,171,eggs,0
strabekervloedgraaf,limburg,181,eggs,0
strabekervloedgraaf,limburg,191,eggs,0
strabekervloedgraaf,limburg,201,eggs,0
strabekervloedgraaf,limburg,211,eggs,0
strabekervloedgraaf,limburg,221,eggs,0
strabekervloedgraaf,limburg,231,eggs,0
strabekervloedgraaf,limburg,241,eggs,0
strabekervloedgraaf,limburg,251,eggs,0
strabekervloedgraaf,limburg,1,first_instar,0
strabekervloedgraaf,limburg,11,first_instar,0
strabekervloedgraaf,limburg,21,first_instar,0
strabekervloedgraaf,limburg,31,first_instar,0
strabekervloedgraaf,limburg,41,first_instar,110
strabekervloedgraaf,limburg,51,first_instar,440
strabekervloedgraaf,limburg,61,first_instar,723
strabekervloedgraaf,limburg,71,first_instar,777
strabekervloedgraaf,limburg,81,first_instar,777
strabekervloedgraaf,limburg,91,first_instar,199
strabekervloedgraaf,limburg,101,first_instar,470
strabekervloedgraaf,limburg,111,first_instar,697
strabekervloedgraaf,limburg,121,first_instar,770
strabekervloedgraaf,limburg,131,first_instar,736
strabekervloedgraaf,limburg,141,first_instar,701
strabekervloedgraaf,limburg,151,first_instar,691
strabekervloedgraaf,limburg,161,first_instar,32
strabekervloedgraaf,limburg,171,first_instar,7
strabekervloedgraaf,limburg,181,first_instar,2
strabekervloedgraaf,limburg,191,first_instar,0
strabekervloedgraaf,limburg,201,first_instar,0
strabekervloedgraaf,limburg,211,first_instar,0
strabekervloedgraaf,limburg,221,first_instar,0
strabekervloedgraaf,limburg,231,first_instar,0
strabekervloedgraaf,limburg,241,first_instar,0
strabekervloedgraaf,limburg,251,first_instar,0
strabekervloedgraaf,limburg,1,second_instar,0
strabekervloedgraaf,limburg,11,second_instar,0
strabekervloedgraaf,limburg,21,second_instar,0
strabekervloedgraaf,limburg,31,second_instar,0
strabekervloedgraaf,limburg,41,second_instar,0
strabekervloedgraaf,limburg,51,second_instar,0
strabekervloedgraaf,limburg,61,second_instar,2
strabekervloedgraaf,limburg,71,second_instar,194
strabekervloedgraaf,limburg,81,second_instar,408
strabekervloedgraaf,limburg,91,second_instar,247
strabekervloedgraaf,limburg,101,second_instar,235
strabekervloedgraaf,limburg,111,second_instar,192
strabekervloedgraaf,limburg,121,second_instar,274
strabekervloedgraaf,limburg,131,second_instar,440
strabekervloedgraaf,limburg,141,second_instar,591
strabekervloedgraaf,limburg,151,second_instar,677
strabekervloedgraaf,limburg,161,second_instar,128
strabekervloedgraaf,limburg,171,second_instar,49
strabekervloedgraaf,limburg,181,second_instar,29
strabekervloedgraaf,limburg,191,second_instar,9
strabekervloedgraaf,limburg,201,second_instar,1
strabekervloedgraaf,limburg,211,second_instar,0
strabekervloedgraaf,limburg,221,second_instar,0
strabekervloedgraaf,limburg,231,second_instar,0
strabekervloedgraaf,limburg,241,second_instar,0
strabekervloedgraaf,limburg,251,second_instar,0
strabekervloedgraaf,limburg,1,third_instar,0
strabekervloedgraaf,limburg,11,third_instar,0
strabekervloedgraaf,limburg,21,third_instar,0
strabekervloedgraaf,limburg,31,third_instar,0
strabekervloedgraaf,limburg,41,third_instar,0
strabekervloedgraaf,limburg,51,third_instar,0
strabekervloedgraaf,limburg,61,third_instar,0
strabekervloedgraaf,limburg,71,third_instar,0
strabekervloedgraaf,limburg,81,third_instar,0
strabekervloedgraaf,limburg,91,third_instar,0
strabekervloedgraaf,limburg,101,third_instar,28
strabekervloedgraaf,limburg,111,third_instar,91
strabekervloedgraaf,limburg,121,third_instar,142
strabekervloedgraaf,limburg,131,third_instar,162
strabekervloedgraaf,limburg,141,third_instar,170
strabekervloedgraaf,limburg,151,third_instar,175
strabekervloedgraaf,limburg,161,third_instar,116
strabekervloedgraaf,limburg,171,third_instar,87
strabekervloedgraaf,limburg,181,third_instar,88
strabekervloedgraaf,limburg,191,third_instar,72
strabekervloedgraaf,limburg,201,third_instar,20
strabekervloedgraaf,limburg,211,third_instar,10
strabekervloedgraaf,limburg,221,third_instar,6
strabekervloedgraaf,limburg,231,third_instar,2
strabekervloedgraaf,limburg,241,third_instar,0
strabekervloedgraaf,limburg,251,third_instar,0
strabekervloedgraaf,limburg,1,fourth_instar,0
strabekervloedgraaf,limburg,11,fourth_instar,0
strabekervloedgraaf,limburg,21,fourth_instar,0
strabekervloedgraaf,limburg,31,fourth_instar,0
strabekervloedgraaf,limburg,41,fourth_instar,0
strabekervloedgraaf,limburg,51,fourth_instar,0
strabekervloedgraaf,limburg,61,fourth_instar,0
strabekervloedgraaf,limburg,71,fourth_instar,0
strabekervloedgraaf,limburg,81,fourth_instar,0
strabekervloedgraaf,limburg,91,fourth_instar,0
strabekervloedgraaf,limburg,101,fourth_instar,0
strabekervloedgraaf,limburg,111,fourth_instar,0
strabekervloedgraaf,limburg,121,fourth_instar,0
strabekervloedgraaf,limburg,131,fourth_instar,0
strabekervloedgraaf,limburg,141,fourth_instar,3
strabekervloedgraaf,limburg,151,fourth_instar,38
strabekervloedgraaf,limburg,161,fourth_instar,48
strabekervloedgraaf,limburg,171,fourth_instar,47
strabekervloedgraaf,limburg,181,fourth_instar,48
strabekervloedgraaf,limburg,191,fourth_instar,36
strabekervloedgraaf,limburg,201,fourth_instar,26
strabekervloedgraaf,limburg,211,fourth_instar,22
strabekervloedgraaf,limburg,221,fourth_instar,20
strabekervloedgraaf,limburg,231,fourth_instar,19
strabekervloedgraaf,limburg,241,fourth_instar,12
strabekervloedgraaf,limburg,251,fourth_instar,7
