feature_id,bunderbosbeek_1,bunderbosbeek_2,bunderbosbeek_3,bunderbosbeek_4,bunderbosbeek_5,bunderbosbeek_6,bunderbosbeek_7,bunderbosbeek_8,bunderbosbeek_9,bunderbosbeek_10,bunderbosbeek_11,bunderbosbeek_12,bunderbosbeek_13,bunderbosbeek_14,bunderbosbeek_15,oudebeek_1,oudebeek_2,oudebeek_3,oudebeek_4,oudebeek_5,oudebeek_6,oudebeek_7,oudebeek_8,oudebeek_9,oudebeek_10,oudebeek_11,oudebeek_12,oudebeek_13,oudebeek_14,seelbeek_1,seelbeek_2,seelbeek_3,seelbeek_4,seelbeek_5,seelbeek_6,seelbeek_7,seelbeek_8,seelbeek_9,seelbeek_10,seelbeek_11,seelbeek_12,seelbeek_13,seelbeek_14,seelbeek_15,seelbeek_16,strabekervloedgraaf_1,strabekervloedgraaf_2,strabekervloedgraaf_3,strabekervloedgraaf_4,strabekervloedgraaf_5,strabekervloedgraaf_6,strabekervloedgraaf_7,strabekervloedgraaf_8,strabekervloedgraaf_9,strabekervloedgraaf_10,strabekervloedgraaf_11,strabekervloedgraaf_12,strabekervloedgraaf_13,strabekervloedgraaf_14,strabekervloedgraaf_15
correlated106,15.0,26.0,36.0,9.0,55.0,46.0,95.0,20.0,24.0,30.0,12.0,40.0,1.0,93.0,68.0,26.0,6.0,57.0,40.0,49.0,72.0,99.0,64.0,16.0,99.0,13.0,23.0,29.0,15.0,25.0,34.0,24.0,58.0,11.0,98.0,49.0,27.0,27.0,85.0,0.0,93.0,34.0,50.0,22.0,23.0,75.0,13.0,9.0,85.0,48.0,48.0,75.0,64.0,13.0,57.0,26.0,77.0,93.0,52.0,22.0
correlated107,53.0,19.0,55.0,16.0,51.0,20.0,47.0,9.0,43.0,25.0,50.0,10.0,57.0,48.0,42.0,49.0,47.0,55.0,30.0,5.0,53.0,16.0,22.0,31.0,53.0,45.0,19.0,53.0,25.0,13.0,33.0,42.0,58.0,27.0,27.0,26.0,17.0,56.0,50.0,28.0,23.0,53.0,10.0,50.0,43.0,8.0,45.0,2.0,32.0,6.0,23.0,40.0,39.0,46.0,54.0,10.0,2.0,2.0,25.0,15.0
correlated108,34.0,33.0,16.0,4.0,37.0,43.0,0.0,64.0,57.0,27.0,28.0,61.0,21.0,21.0,29.0,0.0,21.0,47.0,74.0,48.0,30.0,40.0,35.0,19.0,58.0,33.0,0.0,4.0,69.0,45.0,15.0,25.0,45.0,6.0,34.0,9.0,31.0,46.0,17.0,40.0,75.0,22.0,50.0,49.0,31.0,8.0,50.0,76.0,58.0,33.0,5.0,0.0,41.0,43.0,20.0,71.0,56.0,44.0,22.0,1.0
correlated109,60.0,94.0,16.0,67.0,16.0,23.0,21.0,94.0,48.0,8.0,48.0,1.0,98.0,6.0,50.0,44.0,9.0,17.0,91.0,12.0,13.0,25.0,24.0,15.0,37.0,11.0,52.0,23.0,87.0,90.0,77.0,20.0,83.0,86.0,5.0,25.0,74.0,43.0,95.0,45.0,39.0,48.0,8.0,45.0,10.0,88.0,42.0,92.0,18.0,20.0,60.0,22.0,56.0,8.0,30.0,80.0,15.0,74.0,25.0,32.0
correlated11,57.0,96.0,10.0,87.0,3.0,85.0,70.0,83.0,89.0,43.0,62.0,86.0,98.0,53.0,8.0,60.0,48.0,30.0,26.0,84.0,45.0,2.0,69.0,0.0,79.0,25.0,91.0,78.0,79.0,56.0,4.0,56.0,61.0,55.0,91.0,21.0,78.0,53.0,73.0,27.0,39.0,24.0,77.0,44.0,21.0,82.0,16.0,100.0,34.0,48.0,92.0,37.0,42.0,44.0,32.0,54.0,46.0,61.0,48.0,0.0
correlated110,74.0,86.0,71.0,23.0,44.0,24.0,29.0,50.0,22.0,78.0,61.0,44.0,55.0,36.0,96.0,99.0,21.0,82.0,54.0,28.0,64.0,90.0,34.0,87.0,42.0,81.0,98.0,68.0,26.0,85.0,28.0,29.0,21.0,43.0,25.0,25.0,46.0,43.0,42.0,52.0,54.0,91.0,51.0,53.0,93.0,82.0,89.0,80.0,28.0,99.0,63.0,38.0,77.0,76.0,90.0,62.0,40.0,48.0,57.0,82.0
correlated111,82.0,87.0,35.0,69.0,61.0,63.0,37.0,31.0,22.0,93.0,90.0,33.0,78.0,73.0,70.0,99.0,29.0,99.0,49.0,71.0,82.0,43.0,69.0,76.0,64.0,43.0,40.0,34.0,44.0,45.0,46.0,74.0,96.0,94.0,100.0,56.0,99.0,21.0,83.0,74.0,70.0,43.0,73.0,69.0,46.0,94.0,77.0,81.0,80.0,35.0,41.0,44.0,80.0,28.0,63.0,37.0,56.0,30.0,90.0,23.0
correlated112,59.0,66.0,30.0,34.0,21.0,92.0,81.0,89.0,13.0,71.0,90.0,63.0,61.0,55.0,56.0,94.0,15.0,55.0,46.0,8.0,28.0,17.0,48.0,35.0,42.0,87.0,62.0,20.0,49.0,83.0,72.0,89.0,95.0,38.0,11.0,16.0,81.0,47.0,95.0,6.0,11.0,6.0,97.0,4.0,71.0,24.0,3.0,73.0,73.0,26.0,22.0,59.0,74.0,74.0,21.0,86.0,72.0,92.0,52.0,64.0
correlated113,14.0,51.0,20.0,32.0,30.0,30.0,26.0,33.0,17.0,1.0,29.0,32.0,43.0,39.0,26.0,24.0,27.0,49.0,36.0,53.0,36.0,49.0,72.0,28.0,33.0,8.0,2.0,47.0,53.0,10.0,45.0,15.0,2.0,2.0,60.0,56.0,33.0,25.0,10.0,45.0,54.0,40.0,59.0,33.0,59.0,9.0,58.0,28.0,50.0,52.0,22.0,2.0,22.0,7.0,54.0,48.0,60.0,57.0,10.0,11.0
correlated114,13.0,48.0,79.0,17.0,24.0,5.0,70.0,30.0,18.0,57.0,5.0,36.0,70.0,26.0,75.0,15.0,75.0,69.0,55.0,92.0,51.0,77.0,54.0,24.0,20.0,27.0,32.0,75.0,63.0,0.0,66.0,16.0,65.0,1.0,45.0,65.0,2.0,67.0,69.0,39.0,24.0,66.0,21.0,17.0,66.0,31.0,71.0,70.0,1.0,42.0,51.0,18.0,41.0,66.0,73.0,48.0,69.0,25.0,58.0,79.0
correlated115,41.0,42.0,61.0,14.0,47.0,97.0,78.0,43.0,67.0,31.0,43.0,78.0,80.0,20.0,19.0,97.0,3.0,9.0,50.0,37.0,72.0,62.0,22.0,71.0,88.0,97.0,75.0,43.0,87.0,8.0,34.0,31.0,68.0,9.0,18.0,40.0,75.0,28.0,98.0,63.0,84.0,82.0,88.0,51.0,21.0,74.0,24.0,40.0,96.0,60.0,4.0,6.0,22.0,52.0,61.0,65.0,21.0,93.0,34.0,80.0
correlated116,89.0,42.0,54.0,23.0,88.0,82.0,65.0,27.0,48.0,36.0,44.0,22.0,52.0,84.0,81.0,38.0,20.0,51.0,49.0,47.0,66.0,64.0,32.0,23.0,22.0,47.0,35.0,77.0,61.0,59.0,75.0,93.0,57.0,39.0,98.0,39.0,72.0,53.0,30.0,53.0,97.0,50.0,50.0,57.0,20.0,33.0,78.0,57.0,85.0,52.0,36.0,41.0,92.0,26.0,100.0,98.0,79.0,81.0,54.0,33.0
correlated117,50.0,32.0,88.0,39.0,87.0,78.0,70.0,86.0,45.0,79.0,87.0,84.0,33.0,21.0,87.0,28.0,82.0,34.0,99.0,23.0,53.0,86.0,33.0,90.0,71.0,58.0,65.0,34.0,76.0,66.0,77.0,48.0,32.0,87.0,37.0,62.0,47.0,35.0,72.0,30.0,55.0,84.0,93.0,37.0,94.0,92.0,91.0,97.0,53.0,65.0,78.0,54.0,42.0,45.0,26.0,76.0,92.0,96.0,41.0,31.0
correlated118,86.0,9.0,70.0,4.0,71.0,37.0,72.0,81.0,0.0,69.0,97.0,19.0,14.0,80.0,6.0,55.0,59.0,84.0,2.0,30.0,14.0,14.0,71.0,98.0,79.0,20.0,62.0,16.0,4.0,22.0,28.0,78.0,40.0,4.0,67.0,35.0,90.0,96.0,39.0,97.0,77.0,94.0,82.0,74.0,93.0,54.0,69.0,24.0,0.0,46.0,33.0,54.0,59.0,53.0,76.0,97.0,45.0,12.0,36.0,56.0
correlated119,19.0,20.0,29.0,49.0,30.0,9.0,56.0,53.0,48.0,2.0,35.0,42.0,54.0,50.0,36.0,12.0,43.0,33.0,35.0,37.0,60.0,33.0,31.0,0.0,29.0,36.0,26.0,50.0,37.0,3.0,56.0,38.0,13.0,48.0,6.0,48.0,47.0,41.0,45.0,1.0,44.0,43.0,1.0,50.0,44.0,28.0,15.0,42.0,16.0,18.0,18.0,46.0,57.0,22.0,59.0,11.0,54.0,44.0,12.0,54.0
correlated12,44.0,59.0,66.0,39.0,65.0,31.0,59.0,79.0,51.0,61.0,70.0,40.0,70.0,34.0,66.0,94.0,33.0,34.0,52.0,57.0,13.0,31.0,39.0,91.0,3.0,51.0,26.0,40.0,83.0,1.0,68.0,21.0,85.0,24.0,95.0,75.0,36.0,44.0,26.0,95.0,41.0,67.0,89.0,30.0,45.0,60.0,28.0,76.0,37.0,68.0,97.0,27.0,28.0,43.0,89.0,45.0,99.0,70.0,49.0,85.0
correlated120,5.0,53.0,40.0,39.0,47.0,6.0,80.0,13.0,47.0,28.0,16.0,35.0,10.0,51.0,21.0,15.0,16.0,74.0,22.0,65.0,6.0,60.0,77.0,16.0,80.0,10.0,99.0,21.0,9.0,26.0,45.0,7.0,11.0,66.0,78.0,80.0,63.0,48.0,19.0,29.0,74.0,7.0,35.0,68.0,17.0,12.0,37.0,67.0,46.0,45.0,65.0,55.0,40.0,69.0,19.0,26.0,17.0,77.0,30.0,41.0
correlated121,17.0,41.0,10.0,90.0,19.0,36.0,2.0,65.0,64.0,25.0,51.0,93.0,71.0,61.0,71.0,7.0,46.0,34.0,94.0,30.0,43.0,74.0,19.0,30.0,63.0,34.0,60.0,75.0,25.0,71.0,84.0,59.0,3.0,92.0,34.0,58.0,39.0,98.0,64.0,52.0,65.0,12.0,93.0,75.0,29.0,93.0,41.0,17.0,20.0,24.0,34.0,42.0,19.0,4.0,69.0,31.0,84.0,72.0,74.0,67.0
correlated122,59.0,79.0,77.0,42.0,91.0,98.0,53.0,55.0,39.0,76.0,64.0,42.0,37.0,65.0,82.0,29.0,73.0,70.0,44.0,72.0,86.0,26.0,89.0,31.0,76.0,69.0,69.0,66.0,22.0,80.0,30.0,31.0,71.0,38.0,82.0,63.0,99.0,42.0,88.0,24.0,60.0,50.0,66.0,84.0,50.0,95.0,55.0,41.0,89.0,28.0,88.0,100.0,70.0,25.0,96.0,37.0,63.0,20.0,95.0,96.0
correlated123,43.0,67.0,95.0,24.0,26.0,62.0,32.0,92.0,78.0,36.0,50.0,77.0,60.0,95.0,99.0,84.0,42.0,95.0,95.0,99.0,22.0,27.0,86.0,49.0,78.0,67.0,58.0,82.0,31.0,77.0,27.0,50.0,35.0,58.0,39.0,54.0,79.0,99.0,91.0,65.0,54.0,49.0,58.0,63.0,94.0,35.0,49.0,88.0,23.0,29.0,72.0,91.0,54.0,60.0,21.0,55.0,50.0,48.0,79.0,65.0
correlated124,72.0,41.0,61.0,46.0,91.0,24.0,78.0,37.0,39.0,69.0,57.0,87.0,7.0,50.0,2.0,8.0,87.0,81.0,6.0,26.0,8.0,84.0,54.0,96.0,26.0,1.0,29.0,20.0,37.0,3.0,1.0,23.0,1.0,26.0,75.0,37.0,9.0,58.0,14.0,89.0,68.0,46.0,47.0,50.0,35.0,58.0,96.0,98.0,85.0,7.0,72.0,81.0,63.0,65.0,10.0,36.0,66.0,66.0,23.0,86.0
correlated125,24.0,2.0,20.0,40.0,33.0,60.0,4.0,40.0,4.0,59.0,10.0,41.0,0.0,51.0,29.0,10.0,43.0,18.0,3.0,17.0,43.0,51.0,45.0,21.0,60.0,1.0,30.0,57.0,25.0,38.0,54.0,50.0,38.0,42.0,1.0,46.0,3.0,24.0,17.0,15.0,21.0,20.0,57.0,7.0,29.0,21.0,42.0,29.0,49.0,26.0,40.0,50.0,0.0,41.0,7.0,7.0,53.0,22.0,25.0,41.0
correlated126,51.0,53.0,15.0,16.0,20.0,50.0,74.0,26.0,6.0,12.0,14.0,72.0,32.0,52.0,8.0,61.0,15.0,13.0,11.0,22.0,49.0,61.0,69.0,55.0,65.0,23.0,59.0,21.0,6.0,66.0,43.0,14.0,64.0,77.0,60.0,55.0,35.0,36.0,45.0,23.0,61.0,50.0,54.0,17.0,40.0,64.0,45.0,68.0,74.0,8.0,22.0,56.0,69.0,18.0,55.0,74.0,16.0,8.0,0.0,3.0
correlated127,28.0,43.0,15.0,100.0,72.0,23.0,83.0,99.0,5.0,99.0,18.0,48.0,100.0,64.0,7.0,17.0,53.0,4.0,46.0,77.0,47.0,22.0,45.0,30.0,42.0,40.0,76.0,76.0,11.0,59.0,54.0,59.0,79.0,88.0,82.0,2.0,56.0,86.0,46.0,13.0,15.0,92.0,85.0,55.0,81.0,83.0,76.0,30.0,99.0,14.0,31.0,3.0,68.0,86.0,39.0,39.0,20.0,12.0,81.0,85.0
correlated128,47.0,94.0,22.0,86.0,53.0,56.0,23.0,65.0,67.0,35.0,60.0,54.0,67.0,93.0,83.0,37.0,48.0,25.0,27.0,25.0,67.0,78.0,24.0,49.0,23.0,87.0,66.0,40.0,44.0,57.0,63.0,96.0,36.0,62.0,35.0,71.0,23.0,25.0,48.0,94.0,70.0,30.0,37.0,44.0,28.0,53.0,69.0,46.0,29.0,32.0,63.0,39.0,30.0,97.0,44.0,61.0,54.0,81.0,98.0,68.0
correlated129,49.0,54.0,23.0,55.0,57.0,84.0,100.0,94.0,84.0,69.0,27.0,88.0,86.0,55.0,40.0,71.0,57.0,89.0,61.0,47.0,20.0,52.0,62.0,49.0,97.0,50.0,92.0,30.0,41.0,87.0,75.0,82.0,48.0,68.0,57.0,73.0,56.0,85.0,31.0,58.0,36.0,63.0,61.0,92.0,78.0,87.0,76.0,90.0,21.0,50.0,65.0,22.0,62.0,74.0,39.0,75.0,82.0,65.0,67.0,21.0
correlated13,24.0,9.0,58.0,8.0,97.0,51.0,28.0,72.0,19.0,20.0,10.0,20.0,23.0,26.0,75.0,68.0,87.0,59.0,76.0,6.0,99.0,10.0,89.0,49.0,58.0,53.0,94.0,72.0,33.0,49.0,85.0,35.0,37.0,83.0,93.0,41.0,54.0,19.0,11.0,55.0,40.0,60.0,51.0,99.0,100.0,8.0,21.0,64.0,57.0,32.0,95.0,98.0,36.0,80.0,7.0,5.0,39.0,78.0,41.0,56.0
correlated130,22.0,87.0,40.0,15.0,82.0,43.0,4.0,97.0,77.0,47.0,12.0,84.0,9.0,72.0,97.0,23.0,53.0,69.0,56.0,28.0,79.0,39.0,21.0,77.0,80.0,58.0,32.0,36.0,42.0,69.0,74.0,64.0,46.0,12.0,2.0,73.0,17.0,90.0,46.0,95.0,95.0,27.0,25.0,43.0,84.0,78.0,53.0,82.0,74.0,93.0,58.0,5.0,68.0,22.0,45.0,84.0,10.0,23.0,46.0,18.0
correlated131,12.0,47.0,21.0,51.0,55.0,16.0,20.0,52.0,59.0,59.0,22.0,40.0,10.0,9.0,32.0,14.0,0.0,45.0,0.0,20.0,4.0,43.0,48.0,23.0,42.0,47.0,24.0,57.0,59.0,36.0,14.0,9.0,24.0,54.0,37.0,25.0,0.0,44.0,47.0,48.0,19.0,51.0,21.0,10.0,8.0,13.0,44.0,59.0,43.0,7.0,16.0,42.0,47.0,14.0,31.0,46.0,18.0,33.0,49.0,49.0
correlated132,75.0,50.0,8.0,71.0,48.0,72.0,43.0,40.0,73.0,3.0,30.0,76.0,0.0,0.0,71.0,51.0,60.0,66.0,73.0,63.0,45.0,61.0,17.0,64.0,47.0,80.0,49.0,1.0,36.0,69.0,8.0,78.0,11.0,17.0,17.0,27.0,3.0,63.0,45.0,55.0,62.0,0.0,9.0,21.0,27.0,9.0,16.0,23.0,7.0,12.0,51.0,65.0,69.0,51.0,72.0,28.0,80.0,43.0,28.0,1.0
correlated133,74.0,69.0,20.0,69.0,60.0,75.0,84.0,34.0,79.0,98.0,97.0,53.0,47.0,88.0,7.0,56.0,19.0,91.0,83.0,53.0,14.0,39.0,55.0,87.0,25.0,19.0,52.0,55.0,8.0,5.0,88.0,2.0,11.0,44.0,18.0,26.0,4.0,34.0,57.0,85.0,61.0,64.0,77.0,89.0,45.0,20.0,49.0,11.0,26.0,23.0,8.0,46.0,58.0,61.0,31.0,61.0,91.0,43.0,64.0,82.0
correlated134,83.0,74.0,59.0,37.0,63.0,39.0,98.0,71.0,31.0,26.0,64.0,67.0,66.0,55.0,98.0,81.0,97.0,69.0,44.0,25.0,35.0,21.0,44.0,23.0,71.0,51.0,30.0,31.0,23.0,96.0,29.0,76.0,83.0,90.0,77.0,30.0,68.0,32.0,71.0,40.0,81.0,93.0,21.0,46.0,28.0,28.0,69.0,97.0,88.0,89.0,48.0,45.0,58.0,78.0,64.0,60.0,57.0,41.0,55.0,64.0
correlated135,46.0,72.0,40.0,50.0,87.0,45.0,77.0,89.0,54.0,69.0,83.0,90.0,80.0,38.0,46.0,42.0,50.0,60.0,51.0,83.0,91.0,66.0,45.0,72.0,54.0,37.0,27.0,39.0,59.0,71.0,87.0,22.0,34.0,78.0,92.0,41.0,50.0,69.0,64.0,39.0,88.0,26.0,76.0,42.0,47.0,72.0,41.0,91.0,89.0,59.0,28.0,47.0,60.0,100.0,76.0,73.0,75.0,34.0,23.0,90.0
correlated136,42.0,44.0,68.0,21.0,14.0,6.0,39.0,78.0,66.0,76.0,79.0,72.0,96.0,72.0,10.0,71.0,74.0,99.0,28.0,21.0,33.0,73.0,44.0,62.0,40.0,65.0,77.0,87.0,77.0,59.0,23.0,90.0,6.0,95.0,73.0,93.0,7.0,5.0,93.0,60.0,93.0,48.0,48.0,67.0,22.0,81.0,96.0,93.0,91.0,90.0,89.0,8.0,1.0,95.0,69.0,23.0,78.0,68.0,62.0,75.0
correlated137,15.0,13.0,12.0,15.0,53.0,52.0,54.0,14.0,27.0,58.0,50.0,33.0,55.0,28.0,33.0,14.0,51.0,21.0,39.0,18.0,15.0,20.0,33.0,69.0,48.0,24.0,52.0,13.0,5.0,8.0,41.0,22.0,55.0,26.0,35.0,39.0,44.0,29.0,2.0,1.0,36.0,39.0,32.0,52.0,40.0,40.0,45.0,21.0,5.0,7.0,14.0,24.0,23.0,27.0,9.0,46.0,29.0,26.0,22.0,19.0
correlated138,34.0,36.0,72.0,73.0,29.0,52.0,29.0,46.0,5.0,16.0,61.0,11.0,76.0,62.0,16.0,56.0,71.0,52.0,66.0,1.0,8.0,68.0,74.0,68.0,7.0,36.0,61.0,4.0,33.0,51.0,57.0,35.0,2.0,21.0,67.0,60.0,46.0,47.0,23.0,21.0,31.0,1.0,36.0,23.0,10.0,65.0,23.0,25.0,39.0,2.0,74.0,26.0,21.0,75.0,53.0,23.0,69.0,64.0,25.0,5.0
correlated139,90.0,76.0,46.0,98.0,38.0,17.0,36.0,74.0,21.0,90.0,25.0,15.0,45.0,77.0,35.0,49.0,53.0,12.0,8.0,76.0,53.0,85.0,44.0,18.0,1.0,61.0,49.0,96.0,30.0,7.0,27.0,94.0,11.0,81.0,79.0,81.0,77.0,73.0,96.0,99.0,85.0,2.0,83.0,19.0,27.0,45.0,33.0,94.0,69.0,19.0,45.0,15.0,37.0,56.0,24.0,76.0,77.0,60.0,3.0,45.0
correlated14,50.0,71.0,55.0,1.0,45.0,22.0,66.0,1.0,33.0,25.0,82.0,80.0,60.0,22.0,100.0,35.0,30.0,53.0,56.0,20.0,35.0,0.0,30.0,62.0,70.0,74.0,91.0,74.0,19.0,79.0,84.0,93.0,91.0,68.0,20.0,39.0,28.0,68.0,20.0,43.0,44.0,61.0,53.0,68.0,71.0,59.0,52.0,19.0,56.0,65.0,48.0,40.0,57.0,22.0,94.0,68.0,71.0,71.0,90.0,64.0
correlated140,77.0,93.0,83.0,36.0,38.0,83.0,43.0,45.0,77.0,62.0,23.0,70.0,90.0,55.0,78.0,69.0,48.0,71.0,95.0,45.0,86.0,33.0,39.0,53.0,47.0,77.0,53.0,27.0,48.0,84.0,20.0,100.0,67.0,29.0,70.0,42.0,51.0,68.0,70.0,80.0,72.0,69.0,82.0,44.0,66.0,26.0,51.0,74.0,24.0,35.0,68.0,36.0,42.0,64.0,41.0,89.0,54.0,50.0,58.0,37.0
correlated141,50.0,74.0,46.0,90.0,27.0,36.0,23.0,82.0,90.0,75.0,86.0,63.0,53.0,35.0,92.0,23.0,74.0,75.0,79.0,20.0,79.0,98.0,93.0,98.0,37.0,70.0,52.0,51.0,85.0,97.0,97.0,74.0,54.0,95.0,44.0,44.0,38.0,28.0,42.0,21.0,37.0,25.0,23.0,29.0,37.0,28.0,91.0,75.0,46.0,81.0,54.0,83.0,28.0,84.0,77.0,50.0,52.0,38.0,38.0,38.0
correlated142,92.0,64.0,26.0,93.0,10.0,73.0,69.0,33.0,20.0,49.0,49.0,65.0,75.0,24.0,93.0,42.0,54.0,19.0,19.0,30.0,63.0,40.0,51.0,12.0,97.0,30.0,1.0,23.0,55.0,38.0,91.0,84.0,48.0,24.0,88.0,8.0,8.0,0.0,2.0,46.0,8.0,8.0,90.0,84.0,58.0,54.0,54.0,83.0,98.0,78.0,43.0,12.0,32.0,0.0,15.0,19.0,52.0,97.0,34.0,91.0
correlated143,57.0,44.0,50.0,10.0,3.0,6.0,13.0,22.0,27.0,4.0,59.0,8.0,78.0,0.0,21.0,44.0,53.0,40.0,37.0,13.0,22.0,49.0,8.0,3.0,34.0,2.0,1.0,50.0,6.0,31.0,36.0,51.0,21.0,28.0,28.0,38.0,2.0,46.0,55.0,6.0,38.0,44.0,59.0,3.0,29.0,22.0,14.0,49.0,25.0,0.0,54.0,23.0,46.0,38.0,34.0,60.0,48.0,55.0,49.0,53.0
