feature_id,bunderbosbeek_1,bunderbosbeek_2,bunderbosbeek_3,bunderbosbeek_4,bunderbosbeek_5,bunderbosbeek_6,bunderbosbeek_7,bunderbosbeek_8,bunderbosbeek_9,bunderbosbeek_10,bunderbosbeek_11,bunderbosbeek_12,bunderbosbeek_13,bunderbosbeek_14,bunderbosbeek_15,oude beek goede tak_1,oude beek goede tak_2,oude beek goede tak_3,oude beek goede tak_4,oude beek goede tak_5,oude beek goede tak_6,oude beek goede tak_7,oude beek goede tak_8,oude beek goede tak_9,oude beek goede tak_10,oude beek goede tak_11,oude beek goede tak_12,oude beek goede tak_13,oude beek goede tak_14,seelbeek_1,seelbeek_2,seelbeek_3,seelbeek_4,seelbeek_5,seelbeek_6,seelbeek_7,seelbeek_8,seelbeek_9,seelbeek_10,seelbeek_11,seelbeek_12,seelbeek_13,seelbeek_14,seelbeek_15,seelbeek_16,strabekervloedgraaf_1,strabekervloedgraaf_2,strabekervloedgraaf_3,strabekervloedgraaf_4,strabekervloedgraaf_5,strabekervloedgraaf_6,strabekervloedgraaf_7,strabekervloedgraaf_8,strabekervloedgraaf_9,strabekervloedgraaf_10,strabekervloedgraaf_11,strabekervloedgraaf_12,strabekervloedgraaf_13,strabekervloedgraaf_14,strabekervloedgraaf_15
no3,17.7,18.6,17.0,18.0,19.8,17.5,18.4,16.3,17.8,20.3,16.6,19.3,19.1,16.0,19.7,17.6,5.9,6.0,6.1,6.1,6.3,6.6,6.4,6.9,5.3,6.52,6.39,6.46,6.29,0.0,11.2,11.1,8.9,10.7,12.1,11.6,10.6,10.7,12.4,11.5,10.1,11.7,13.6,12.4,7.34,15.5,17.6,17.6,15.9,18.2,15.4,18.5,19.5,16.9,17.1,17.6,19.8,13.2,20.1,22.0
ph,7.13,7.14,7.19,7.21,7.29,7.4,7.44,7.0,7.05,7.09,7.06,7.13,7.02,7.21,7.03,6.81,6.98,6.92,7.28,7.27,7.18,7.09,7.07,6.99,7.08,7.04,6.95,6.92,6.92,6.73,6.89,7.5,6.86,6.95,6.96,6.96,6.98,6.81,6.82,6.79,7.05,6.69,6.68,6.9,7.38,7.2,7.37,7.49,7.38,7.47,7.41,7.46,6.96,7.12,7.12,7.16,7.19,7.25,7.22,7.3
po4_ort,0.028,0.032,0.024,0.028,0.012,0.027,0.021,0.023,0.022,0.031,0.083,0.026,0.027,0.032,0.043,0.006,0.0,0.006,0.0,0.0,0.007,0.023,0.009,0.007,0.006,0.017,0.006,0.0,0.0,0.011,0.0,0.008,0.009,0.0,0.0,0.006,0.009,0.007,0.018,0.009,0.006,0.006,0.0,0.0,0.0,0.013,0.0,0.006,0.008,0.006,0.011,0.011,0.007,0.012,0.014,0.011,0.006,0.0,0.0,0.0
po4_tot,0.031,0.038,0.025,0.032,0.061,0.061,0.064,0.059,0.027,0.054,0.064,0.0,0.0,0.022,0.0,0.0,1.84,0.0,0.054,0.022,0.026,0.075,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.025,0.0,0.023,0.039,0.027,0.0,0.0,0.0,0.0,0.09,0.0,0.025,0.0,0.0,0.0,0.048,0.058,0.039,0.039,0.085,0.069,0.0,0.0,0.0,0.0,0.0
random1,0.464922297,0.367684617,0.412146364,0.234176987,0.542178172,0.933263503,0.610975535,0.031422724,0.850142267,0.60899623,0.100865628,0.866963903,0.424264748,0.871544899,0.869599845,0.833772116,0.879535837,0.326025732,0.960417003,0.860062501,0.778582828,0.297550099,0.753046529,0.65985522,0.260711059,0.977121755,0.055328026,0.875717326,0.886290457,0.569679786,0.99412601,0.209007336,0.189376428,0.084986265,0.961725011,0.492264846,0.61420113,0.883452035,0.589817266,0.742464056,0.69240937,0.246586779,0.405526323,0.908848927,0.966937077,0.929092462,0.577325856,0.779134823,0.79154812,0.676037285,0.50441997,0.493440415,0.574464592,0.840941391,0.400350283,0.398018565,0.661711745,0.461330247,0.133637802,0.736726376
random10,48.0,96.0,67.0,51.0,78.0,2.0,69.0,76.0,53.0,32.0,96.0,8.0,13.0,46.0,46.0,97.0,98.0,71.0,99.0,36.0,79.0,5.0,59.0,88.0,91.0,59.0,26.0,47.0,28.0,8.0,24.0,85.0,43.0,5.0,37.0,41.0,86.0,37.0,76.0,67.0,47.0,64.0,67.0,58.0,37.0,14.0,37.0,62.0,29.0,60.0,3.0,64.0,94.0,60.0,42.0,26.0,72.0,47.0,15.0,47.0
random100,0.736454463,0.471924707,0.089703729,0.025489422,0.434577758,0.266435485,0.277929065,0.322133291,0.893326436,0.091305455,0.710348521,0.698364746,0.831189441,0.642519928,0.342952532,0.135302009,0.766495691,0.658798869,0.283092574,0.30456394,0.91050447,0.717326939,0.247969771,0.144481183,0.546979226,0.247134141,0.190001187,0.610705632,0.925790831,0.882642663,0.219883262,0.250715822,0.442736258,0.995352558,0.549009846,0.212570053,0.853109644,0.359445823,0.508362415,0.760947645,0.459738246,0.013674485,0.922546166,0.333295523,0.140825149,0.435090283,0.16581683,0.819236349,0.110079498,0.690307781,0.469992351,0.651080083,0.693090866,0.682461462,0.444919196,0.883898343,0.288116405,0.632371677,0.648803233,0.44283902
random1000,0.298978409,0.54551358,0.997133581,0.514443311,0.006976125,0.760157512,0.280422118,0.829114287,0.022903117,0.01296377,0.800912865,0.159669541,0.719343037,0.51899864,0.973347543,0.820755026,0.710853704,0.22805611,0.567957966,0.948672306,0.03619542,0.158249466,0.302551311,0.805678543,0.586277794,0.848989523,0.965523054,0.315182418,0.476226611,0.019048849,0.409357976,0.352123664,0.344506316,0.863211362,0.127238285,0.412518889,0.567357796,0.445861116,0.313063141,0.174823745,0.266920408,0.382126041,0.203360707,0.247275821,0.568308505,0.823712833,0.996179478,0.797482952,0.451954495,0.632842928,0.068786519,0.579238208,0.395428955,0.635737521,0.67933333,0.075220096,0.186972029,0.393487858,0.168124042,0.111435104
random1001,0.178886838,0.701102799,0.352275631,0.817994593,0.012780134,0.047745568,0.211868736,0.692096883,0.920245986,0.250357487,0.032406195,0.404837239,0.51171728,0.00129792,0.208548339,0.236975194,0.458491644,0.122213735,0.262085047,0.689491323,0.643019617,0.044471652,0.503839162,0.527378461,0.169728126,0.24765809,0.395848895,0.533126287,0.008826155,0.357497971,0.703127013,0.438997023,0.279621301,0.892912463,0.490811021,0.603781052,0.295584784,0.187129151,0.57339238,0.901975103,0.855954221,0.270626607,0.664304791,0.90286385,0.914439027,0.166069395,0.584486445,0.748143643,0.004791142,0.133751417,0.195323162,0.693968563,0.057976967,0.966594958,0.797834651,0.749057947,0.17902941,0.751077257,0.282366052,0.332024125
random1002,80.0,55.0,12.0,93.0,8.0,0.0,35.0,27.0,55.0,2.0,49.0,41.0,32.0,79.0,65.0,98.0,44.0,91.0,43.0,7.0,26.0,72.0,8.0,8.0,34.0,72.0,16.0,37.0,38.0,17.0,46.0,36.0,46.0,36.0,93.0,96.0,66.0,18.0,69.0,11.0,59.0,98.0,18.0,84.0,49.0,38.0,70.0,40.0,7.0,2.0,53.0,97.0,53.0,18.0,93.0,76.0,41.0,3.0,71.0,74.0
random1003,2.0,4.0,7.0,1.0,1.0,0.0,5.0,0.0,9.0,3.0,5.0,8.0,8.0,6.0,10.0,8.0,7.0,7.0,10.0,3.0,6.0,8.0,1.0,3.0,7.0,9.0,9.0,6.0,3.0,6.0,5.0,1.0,0.0,2.0,10.0,8.0,10.0,8.0,5.0,3.0,0.0,2.0,2.0,5.0,3.0,1.0,3.0,3.0,7.0,3.0,4.0,5.0,1.0,1.0,7.0,0.0,9.0,3.0,2.0,0.0
random1004,0.573791479,0.132423965,0.898776655,0.146933907,0.542104194,0.942481701,0.53827665,0.062487091,0.63575437,0.586646092,0.999973436,0.230639604,0.701770112,0.904004111,0.179708803,0.716694696,0.376716171,0.565246219,0.532909491,0.574406623,0.584833972,0.758779122,0.081241869,0.957976967,0.455674952,0.682402104,0.465974461,0.689954122,0.800865376,0.159402972,0.620224151,0.463577903,0.147138565,0.799944128,0.784721138,0.289674732,0.623020804,0.555550385,0.470421128,0.107474712,0.141239575,0.621658693,0.999593202,0.771661244,0.721432554,0.310903608,0.241081881,0.80097073,0.994660038,0.34405119,0.81817297,0.707402995,0.415412515,0.417991377,0.717649321,0.595156816,0.668329581,0.518567257,0.43701191,0.204952012
random1005,0.776847958,0.282772212,0.010976048,0.029076327,0.852572707,0.48603941,0.162293715,0.873633501,0.245072827,0.843980652,0.627539236,0.555811026,0.168569332,0.546704388,0.609560139,0.642208656,0.222591174,0.09123178,0.679424159,0.080517846,0.421897931,0.11164546,0.963753028,0.313296908,0.472091492,0.478847321,0.685776122,0.342818997,0.014641554,0.53897762,0.449711982,0.893747036,0.205175578,0.474683888,0.413404653,0.89202968,0.860128069,0.966502224,0.54754872,0.605961907,0.190534799,0.356286275,0.137901191,0.388007471,0.140207322,0.082241391,0.351365841,0.01635585,0.762768917,0.65091089,0.919155321,0.543734604,0.760709369,0.71339164,0.936497911,0.089654835,0.925545605,0.247349896,0.674688558,0.189421785
random1006,83.0,94.0,29.0,78.0,10.0,12.0,21.0,19.0,51.0,60.0,7.0,24.0,94.0,45.0,99.0,32.0,61.0,50.0,15.0,15.0,20.0,27.0,28.0,78.0,48.0,16.0,90.0,90.0,67.0,1.0,20.0,74.0,64.0,6.0,98.0,57.0,77.0,83.0,76.0,47.0,70.0,24.0,73.0,53.0,30.0,77.0,66.0,72.0,7.0,6.0,87.0,3.0,45.0,49.0,100.0,95.0,5.0,52.0,29.0,2.0
random1007,8.0,4.0,2.0,9.0,1.0,6.0,10.0,1.0,3.0,3.0,7.0,1.0,4.0,6.0,2.0,10.0,9.0,9.0,8.0,3.0,3.0,1.0,1.0,7.0,1.0,8.0,3.0,3.0,6.0,8.0,0.0,9.0,4.0,7.0,3.0,9.0,1.0,2.0,4.0,4.0,10.0,7.0,7.0,4.0,4.0,5.0,9.0,5.0,1.0,9.0,2.0,4.0,10.0,1.0,1.0,5.0,9.0,0.0,8.0,9.0
random1008,0.017196447,0.726072055,0.855918185,0.013973968,0.681454743,0.309929723,0.231623652,0.129005587,0.009721457,0.865419305,0.290978466,0.195865415,0.113511728,0.83666075,0.836645111,0.351632579,0.557641998,0.391477184,0.730167582,0.261921648,0.317832601,0.07763275,0.420365569,0.515664407,0.206526607,0.737701292,0.186801296,0.542022064,0.476597604,0.69468911,0.609251279,0.891954712,0.322837586,0.296125284,0.237504134,0.427371462,0.246696194,0.868591927,0.724762354,0.80251376,0.634188357,0.466015481,0.05057958,0.435251313,0.929157192,0.110325693,0.114000005,0.724213104,0.979789724,0.179470162,0.570803218,0.769698998,0.474940999,0.01898962,0.441496603,0.168539279,0.800413632,0.986349272,0.938649807,0.573818722
random1009,0.673482247,0.64871023,0.655069881,0.422172039,0.490780814,0.832665828,0.715203007,0.319711703,0.317299249,0.197751372,0.338783295,0.488904074,0.375818071,0.564794195,0.735217728,0.68533563,0.722963386,0.986243321,0.820603053,0.540941931,0.016923846,0.532656564,0.805066703,0.585057159,0.183894298,0.231983916,0.309260083,0.250557481,0.903635731,0.776159848,0.59633247,0.102365216,0.76161488,0.97495498,0.931723324,0.304684183,0.134577949,0.436329279,0.201465757,0.130125349,0.470674594,0.265562038,0.798616817,0.121743834,0.023969951,0.203402102,0.936435671,0.322026953,0.580882014,0.965524,0.074631724,0.914971002,0.736591146,0.786659615,0.36835029,0.877693672,0.317774297,0.825545694,0.933654348,0.26697041
random101,0.729837687,0.302878956,0.139077197,0.832625664,0.59889567,0.445889179,0.394308219,0.335263163,0.715408178,0.410599257,0.777292486,0.292210415,0.427057564,0.026114928,0.510916113,0.75777557,0.481741567,0.607828051,0.577252473,0.269753904,0.742559495,0.35867767,0.80015762,0.555626749,0.941875452,0.151028447,0.817080294,0.279096017,0.452252219,0.866661896,0.394934851,0.929436404,0.468151275,0.834356812,0.0186086,0.70193752,0.370041633,0.109050736,0.676162937,0.739333992,0.278158927,0.078534128,0.235267896,0.13914142,0.447898001,0.820979824,0.811825808,0.33855249,0.585212849,0.313806605,0.276155404,0.80791835,0.538872247,0.785569656,0.618751884,0.476657429,0.629109218,0.263214906,0.930928698,0.413322169
random1010,88.0,63.0,25.0,66.0,65.0,91.0,47.0,16.0,63.0,33.0,7.0,57.0,54.0,2.0,93.0,56.0,48.0,91.0,60.0,76.0,16.0,62.0,23.0,82.0,23.0,44.0,98.0,63.0,1.0,7.0,81.0,34.0,79.0,53.0,56.0,57.0,9.0,93.0,87.0,67.0,30.0,29.0,16.0,67.0,44.0,45.0,64.0,36.0,88.0,35.0,95.0,94.0,99.0,39.0,51.0,83.0,84.0,91.0,81.0,88.0
random1011,3.0,6.0,3.0,3.0,7.0,10.0,10.0,3.0,8.0,5.0,6.0,4.0,2.0,1.0,3.0,4.0,5.0,7.0,1.0,1.0,9.0,0.0,10.0,10.0,3.0,7.0,2.0,5.0,10.0,10.0,1.0,6.0,2.0,9.0,4.0,10.0,1.0,4.0,9.0,6.0,8.0,5.0,7.0,1.0,9.0,6.0,3.0,5.0,6.0,3.0,2.0,0.0,4.0,9.0,3.0,6.0,10.0,7.0,4.0,4.0
random1012,0.014693376,0.867201095,0.236077165,0.706713878,0.584053156,0.296899054,0.123646487,0.690579147,0.474173098,0.522601666,0.587466217,0.916777202,0.220794697,0.31661233,0.567662654,0.158821807,0.428463575,0.530854767,0.198554597,0.528418309,0.086579177,0.370555126,0.737608676,0.068804445,0.829810556,0.58846224,0.278338139,0.78318258,0.391811934,0.155458748,0.022875728,0.958746408,0.822700651,0.141306875,0.3449027,0.510105698,0.832415516,0.22994268,0.677305517,0.597410524,0.262207454,0.641710826,0.847283913,0.319205333,0.286684729,0.205146791,0.599764257,0.544741043,0.596068133,0.231592584,0.491110102,0.21713989,0.449970819,0.765806158,0.009411119,0.7748734,0.931822546,0.119719937,0.513064877,0.627406623
random1013,0.291202259,0.544245262,0.448270351,0.576385907,0.482548562,0.897415496,0.88551424,0.83505162,0.963873602,0.980709723,0.177429775,0.493779403,0.879591263,0.427903533,0.380864203,0.843551053,0.877258969,0.952743527,0.097657186,0.94667129,0.925250589,0.741553593,0.360348814,0.19536273,0.760930868,0.538037466,0.125800629,0.471270787,0.934053534,0.791088669,0.897945138,0.091759986,0.91139189,0.74149694,0.875343774,0.01715596,0.242848105,0.904358665,0.052190635,0.449777947,0.426757905,0.330399339,0.23078244,0.340749002,0.740193025,0.927253842,0.523670258,0.02667637,0.794583447,0.504710916,0.236023982,0.564648551,0.985914493,0.669415922,0.227962132,0.131688972,0.887159647,0.11717854,0.279420048,0.555451966
random1014,10.0,8.0,43.0,92.0,40.0,80.0,9.0,69.0,40.0,74.0,42.0,36.0,81.0,12.0,19.0,43.0,68.0,80.0,0.0,28.0,10.0,2.0,78.0,23.0,41.0,73.0,67.0,55.0,66.0,22.0,81.0,48.0,86.0,62.0,26.0,16.0,55.0,79.0,98.0,51.0,54.0,94.0,96.0,96.0,60.0,59.0,97.0,62.0,69.0,24.0,14.0,44.0,35.0,77.0,2.0,87.0,63.0,76.0,47.0,75.0
random1015,10.0,10.0,4.0,7.0,9.0,4.0,10.0,9.0,7.0,6.0,0.0,5.0,5.0,10.0,3.0,4.0,0.0,0.0,4.0,5.0,7.0,7.0,0.0,4.0,6.0,5.0,9.0,10.0,2.0,2.0,3.0,4.0,8.0,2.0,2.0,4.0,5.0,10.0,6.0,7.0,8.0,1.0,3.0,9.0,2.0,0.0,8.0,10.0,0.0,0.0,4.0,4.0,4.0,2.0,5.0,2.0,0.0,6.0,7.0,0.0
random1016,0.016272854,0.398023362,0.393257407,0.72292453,0.668360339,0.665519769,0.221524997,0.037817774,0.973611584,0.626058084,0.824083724,0.160456399,0.23037306,0.11193956,0.561053932,0.288465437,0.082947035,0.868532463,0.922543071,0.012804763,0.2239851,0.769588403,0.873245571,0.486398113,0.779337935,0.308770555,0.215111499,0.905250238,0.789929428,0.000207502,0.040894101,0.094122858,0.210647206,0.94828013,0.174257439,0.4124456,0.317630017,0.987693972,0.674245103,0.342227172,0.097848794,0.758326917,0.972462312,0.667103313,0.019077594,0.562635313,0.077975674,0.229692204,0.147921434,0.216620334,0.776624918,0.518280742,0.054432187,0.600913712,0.349071254,0.72980534,0.766226895,0.083855343,0.412326805,0.875309555
random1017,0.548579388,0.174714158,0.249612181,0.565725842,0.375141323,0.438047485,0.755064614,0.290963986,0.191252254,0.941584818,0.204601546,0.696114135,0.351555878,0.874870639,0.614408291,0.785259969,0.692063826,0.082775177,0.991693332,0.615848393,0.663628869,0.815141696,0.413278675,0.315352941,0.668835053,0.765898289,0.233245252,0.495828362,0.428871411,0.148289833,0.613761329,0.44906545,0.837336522,0.239062045,0.961258523,0.468394848,0.630970786,0.994473617,0.053205349,0.187802601,0.491477081,0.100729127,0.672380311,0.424671966,0.203884706,0.797255794,0.084135033,0.378995506,0.305221007,0.380133876,0.527660995,0.924762823,0.65768117,0.592242033,0.944371595,0.106433525,0.008110645,0.570302302,0.585989095,0.402514626
random1018,82.0,26.0,3.0,71.0,56.0,65.0,79.0,32.0,32.0,33.0,66.0,19.0,46.0,48.0,46.0,16.0,56.0,41.0,60.0,56.0,93.0,26.0,56.0,49.0,61.0,30.0,88.0,61.0,23.0,2.0,20.0,51.0,22.0,51.0,36.0,81.0,30.0,11.0,87.0,8.0,48.0,96.0,21.0,40.0,18.0,25.0,72.0,31.0,84.0,41.0,5.0,30.0,23.0,84.0,1.0,96.0,35.0,5.0,83.0,23.0
random1019,5.0,5.0,0.0,3.0,10.0,3.0,0.0,10.0,7.0,10.0,10.0,10.0,6.0,6.0,3.0,3.0,1.0,6.0,10.0,6.0,3.0,4.0,8.0,1.0,6.0,9.0,6.0,1.0,5.0,5.0,8.0,3.0,8.0,5.0,5.0,2.0,5.0,0.0,2.0,10.0,9.0,9.0,10.0,2.0,5.0,9.0,6.0,0.0,6.0,9.0,9.0,9.0,6.0,7.0,0.0,9.0,9.0,8.0,9.0,2.0
random102,38.0,27.0,23.0,94.0,89.0,97.0,4.0,36.0,40.0,87.0,0.0,48.0,93.0,27.0,23.0,87.0,70.0,40.0,39.0,20.0,73.0,47.0,47.0,49.0,25.0,43.0,48.0,66.0,58.0,93.0,62.0,28.0,94.0,88.0,28.0,28.0,73.0,52.0,74.0,90.0,36.0,52.0,85.0,88.0,45.0,13.0,87.0,89.0,89.0,75.0,3.0,16.0,7.0,96.0,72.0,12.0,37.0,60.0,37.0,38.0
random1020,0.532225006,0.211974157,0.319783288,0.529331457,0.08009124,0.662275923,0.167092973,0.808846477,0.184856014,0.668295811,0.037120482,0.654284373,0.276834492,0.649317672,0.882172829,0.761833254,0.531869594,0.96720112,0.621119178,0.294042035,0.874933906,0.632596744,0.437185267,0.746464799,0.237723872,0.254647295,0.021173255,0.879163209,0.106195874,0.642134874,0.397967191,0.487456119,0.103623921,0.799180761,0.963443743,0.980464763,0.34762498,0.514853156,0.896387028,0.844239253,0.221902667,0.132726185,0.751895235,0.556039188,0.634877048,0.385886003,0.307092519,0.647682191,0.571474526,0.409562297,0.373930214,0.291143975,0.394353787,0.402035136,0.847806448,0.379653017,0.819397227,0.544568058,0.328017523,0.635099261
random1021,0.882414234,0.146004686,0.737323712,0.333839239,0.038832,0.229808853,0.889790225,0.394411783,0.89774694,0.409439487,0.662865448,0.36960037,0.892589097,0.039172874,0.936969548,0.968926053,0.488082608,0.844676261,0.575212406,0.223474016,0.152261296,0.814239852,0.752461895,0.393975098,0.828673347,0.214388865,0.806567419,0.493783742,0.014326686,0.856212148,0.001699914,0.709916182,0.516302897,0.319031754,0.40521183,0.262750131,0.710494921,0.521238042,0.494390595,0.57608226,0.476282016,0.518816451,0.058355593,0.540551964,0.65325969,0.169349831,0.616820271,0.416963919,0.360481473,0.569014415,0.47333722,0.213867472,0.26459175,0.239379474,0.035789413,0.715202272,0.982594907,0.882924897,0.264485738,0.683210775
random1022,67.0,27.0,22.0,81.0,23.0,65.0,17.0,19.0,52.0,71.0,64.0,82.0,69.0,42.0,60.0,30.0,29.0,32.0,7.0,53.0,87.0,58.0,60.0,32.0,28.0,83.0,5.0,92.0,21.0,46.0,36.0,72.0,50.0,49.0,27.0,60.0,43.0,65.0,34.0,48.0,2.0,49.0,69.0,72.0,99.0,65.0,86.0,35.0,31.0,27.0,36.0,88.0,96.0,97.0,58.0,15.0,89.0,61.0,5.0,7.0
random1023,1.0,10.0,3.0,8.0,8.0,2.0,10.0,7.0,10.0,3.0,8.0,9.0,9.0,5.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,5.0,4.0,4.0,7.0,1.0,7.0,9.0,0.0,5.0,6.0,1.0,5.0,6.0,8.0,0.0,6.0,7.0,2.0,7.0,3.0,1.0,6.0,8.0,5.0,3.0,7.0,4.0,9.0,1.0,6.0,3.0,7.0,2.0,4.0,7.0,8.0,5.0,0.0,6.0
random1024,0.533238876,0.947148977,0.62125113,0.753522508,0.841342686,0.374916194,0.824060716,0.556532598,0.0668812,0.13330483,0.537253694,0.718841509,0.028361405,0.276012404,0.033304594,0.377292805,0.144229889,0.050613108,0.064156742,0.626811059,0.246933548,0.438948575,0.673412996,0.496437002,0.864163807,0.999042752,0.572807722,0.060364011,0.922035252,0.108435341,0.369027501,0.451548461,0.468597004,0.68120343,0.593435888,0.309138718,0.559576571,0.964190379,0.45673323,0.732087769,0.364042288,0.550927955,0.340848151,0.745227236,0.888664992,0.656005664,0.549223698,0.916490664,0.169704282,0.474345818,0.249663341,0.421673103,0.835029998,0.283625145,0.941749014,0.469289509,0.222404765,0.325729709,0.588965796,0.703121277
