feature_id,bunderbosbeek_1,bunderbosbeek_2,bunderbosbeek_3,bunderbosbeek_4,bunderbosbeek_5,bunderbosbeek_6,bunderbosbeek_7,bunderbosbeek_8,bunderbosbeek_9,bunderbosbeek_10,bunderbosbeek_11,bunderbosbeek_12,bunderbosbeek_13,bunderbosbeek_14,bunderbosbeek_15,oude beek goede tak_1,oude beek goede tak_2,oude beek goede tak_3,oude beek goede tak_4,oude beek goede tak_5,oude beek goede tak_6,oude beek goede tak_7,oude beek goede tak_8,oude beek goede tak_9,oude beek goede tak_10,oude beek goede tak_11,oude beek goede tak_12,oude beek goede tak_13,oude beek goede tak_14,seelbeek_1,seelbeek_2,seelbeek_3,seelbeek_4,seelbeek_5,seelbeek_6,seelbeek_7,seelbeek_8,seelbeek_9,seelbeek_10,seelbeek_11,seelbeek_12,seelbeek_13,seelbeek_14,seelbeek_15,seelbeek_16,strabekervloedgraaf_1,strabekervloedgraaf_2,strabekervloedgraaf_3,strabekervloedgraaf_4,strabekervloedgraaf_5,strabekervloedgraaf_6,strabekervloedgraaf_7,strabekervloedgraaf_8,strabekervloedgraaf_9,strabekervloedgraaf_10,strabekervloedgraaf_11,strabekervloedgraaf_12,strabekervloedgraaf_13,strabekervloedgraaf_14,strabekervloedgraaf_15
no3,17.7,18.6,17.0,18.0,19.8,17.5,18.4,16.3,17.8,20.3,16.6,19.3,19.1,16.0,19.7,17.6,5.9,6.0,6.1,6.1,6.3,6.6,6.4,6.9,5.3,6.52,6.39,6.46,6.29,0.0,11.2,11.1,8.9,10.7,12.1,11.6,10.6,10.7,12.4,11.5,10.1,11.7,13.6,12.4,7.34,15.5,17.6,17.6,15.9,18.2,15.4,18.5,19.5,16.9,17.1,17.6,19.8,13.2,20.1,22.0
ph,7.13,7.14,7.19,7.21,7.29,7.4,7.44,7.0,7.05,7.09,7.06,7.13,7.02,7.21,7.03,6.81,6.98,6.92,7.28,7.27,7.18,7.09,7.07,6.99,7.08,7.04,6.95,6.92,6.92,6.73,6.89,7.5,6.86,6.95,6.96,6.96,6.98,6.81,6.82,6.79,7.05,6.69,6.68,6.9,7.38,7.2,7.37,7.49,7.38,7.47,7.41,7.46,6.96,7.12,7.12,7.16,7.19,7.25,7.22,7.3
po4_ort,0.028,0.032,0.024,0.028,0.012,0.027,0.021,0.023,0.022,0.031,0.083,0.026,0.027,0.032,0.043,0.006,0.0,0.006,0.0,0.0,0.007,0.023,0.009,0.007,0.006,0.017,0.006,0.0,0.0,0.011,0.0,0.008,0.009,0.0,0.0,0.006,0.009,0.007,0.018,0.009,0.006,0.006,0.0,0.0,0.0,0.013,0.0,0.006,0.008,0.006,0.011,0.011,0.007,0.012,0.014,0.011,0.006,0.0,0.0,0.0
po4_tot,0.031,0.038,0.025,0.032,0.061,0.061,0.064,0.059,0.027,0.054,0.064,0.0,0.0,0.022,0.0,0.0,1.84,0.0,0.054,0.022,0.026,0.075,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.025,0.0,0.023,0.039,0.027,0.0,0.0,0.0,0.0,0.09,0.0,0.025,0.0,0.0,0.0,0.048,0.058,0.039,0.039,0.085,0.069,0.0,0.0,0.0,0.0,0.0
random1,0.594773141,0.893666603,0.150461283,0.976597759,0.603808908,0.292716926,0.634347034,0.419993042,0.027187697,0.635377737,0.054381043,0.332153797,0.173415063,0.144474589,0.798931257,0.578063343,0.049275235,0.10827187,0.978839198,0.642811976,0.494073264,0.246674499,0.877391179,0.092572121,0.382744051,0.87791636,0.885390673,0.664322151,0.561645743,0.356626578,0.029585738,0.798492619,0.337262234,0.530168321,0.39761302,0.125514044,0.97276547,0.243760837,0.427623453,0.167078197,0.377767068,0.18313051,0.577376122,0.063448929,0.369235479,0.109157878,0.081256704,0.831720432,0.393585417,0.822141502,0.275681165,0.685306982,0.854246232,0.517627255,0.317247911,0.237893378,0.731195124,0.690255477,0.14519051,0.106270141
random10,48.0,69.0,79.0,74.0,43.0,2.0,21.0,74.0,30.0,27.0,45.0,85.0,96.0,45.0,92.0,61.0,28.0,81.0,6.0,89.0,89.0,20.0,1.0,31.0,39.0,99.0,94.0,3.0,87.0,49.0,46.0,30.0,12.0,54.0,71.0,58.0,5.0,77.0,22.0,57.0,97.0,68.0,6.0,36.0,100.0,69.0,12.0,40.0,9.0,75.0,72.0,47.0,5.0,9.0,63.0,18.0,88.0,40.0,39.0,57.0
random100,0.174302368,0.919927213,0.564787623,0.296901199,0.621034439,0.282619244,0.213889272,0.140566328,0.016936221,0.999742255,0.155140266,0.651862179,0.660750445,0.13166769,0.191256164,0.759311924,0.955788051,0.868349279,0.098177841,0.911285268,0.903816619,0.076438275,0.528193914,0.032135072,0.887112111,0.935879751,0.943033076,0.442301549,0.132732351,0.002191493,0.122835328,0.150372707,0.756080551,0.355989493,0.679245249,0.243809177,0.528566323,0.047993608,0.097239365,0.129058749,0.520506907,0.234403205,0.684652559,0.468319691,0.705706945,0.310581426,0.250843792,0.067017441,0.688006452,0.912950708,0.34132905,0.471245867,0.552021264,0.377703572,0.886419967,0.994595142,0.285623742,0.860950133,0.961123582,0.154237941
random101,0.373895573,0.510729786,0.21235606,0.289054394,0.913871934,0.62590355,0.798990049,0.415239983,0.863566868,0.483249632,0.067589625,0.104139851,0.86065204,0.884921659,0.655284214,0.860858302,0.132288936,0.267736365,0.381743941,0.608021653,0.117925836,0.522201343,0.448407745,0.915790398,0.211829767,0.521760802,0.490170237,0.932127813,0.429250691,0.184883464,0.233482146,0.838127284,0.703696834,0.249879672,0.154499654,0.10266435,0.537550951,0.776965974,0.245388562,0.62275236,0.384053073,0.11448932,0.140937535,0.255167399,0.794526524,0.467701726,0.072183133,0.854901542,0.455245642,0.170635375,0.230812341,0.847777951,0.457534127,0.542266443,0.821717617,0.520047236,0.293505461,0.50953707,0.878331344,0.516431605
random102,83.0,56.0,59.0,85.0,68.0,54.0,89.0,58.0,68.0,94.0,7.0,16.0,12.0,57.0,47.0,58.0,54.0,52.0,23.0,35.0,62.0,71.0,96.0,6.0,47.0,92.0,29.0,35.0,72.0,6.0,44.0,77.0,84.0,45.0,24.0,57.0,92.0,37.0,4.0,100.0,60.0,88.0,82.0,42.0,32.0,76.0,89.0,13.0,70.0,28.0,10.0,94.0,28.0,53.0,69.0,50.0,96.0,96.0,91.0,63.0
random103,4.0,0.0,2.0,3.0,3.0,5.0,7.0,8.0,8.0,9.0,9.0,7.0,3.0,9.0,0.0,3.0,4.0,1.0,9.0,5.0,1.0,8.0,2.0,3.0,7.0,9.0,10.0,8.0,5.0,8.0,8.0,4.0,9.0,2.0,1.0,5.0,4.0,10.0,9.0,0.0,8.0,3.0,10.0,3.0,6.0,8.0,4.0,6.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,5.0,3.0,5.0,5.0,4.0
random104,0.006689674,0.444941199,0.050333297,0.379573082,0.612017983,0.073350069,0.901830579,0.899339914,0.173451739,0.362311862,0.035311948,0.917850931,0.596506581,0.286704175,0.22841276,0.680679578,0.792378224,0.033874503,0.189697872,0.048000636,0.829315582,0.138804461,0.126707828,0.143351493,0.214703058,0.027987014,0.297716613,0.31220005,0.843541072,0.314531882,0.670174308,0.413965669,0.22000789,0.885792147,0.612740224,0.943163177,0.817458951,0.586158093,0.987479567,0.908556786,0.086421611,0.550912468,0.699109677,0.257691903,0.36060631,0.368635485,0.803000379,0.849526004,0.934187955,0.338838652,0.883283918,0.289214546,0.504240009,0.827008117,0.896914669,0.060381815,0.734010941,0.216335155,0.269567665,0.966484515
random105,0.858965789,0.574005672,0.976699858,0.10642036,0.141108518,0.424590817,0.151967047,0.993977927,0.217934847,0.665200538,0.38477116,0.501158135,0.845063828,0.322028648,0.390073753,0.206940041,0.530149936,0.294455913,0.671828717,0.938223093,0.979667724,0.252236612,0.784403882,0.489040596,0.472340657,0.937507533,0.870287236,0.688006455,0.52966022,0.473268143,0.237553582,0.35033166,0.628685461,0.276700905,0.206417707,0.842890859,0.961648617,0.256594103,0.834694669,0.152719408,0.941274505,0.824219072,0.428714204,0.410854106,0.334791771,0.521343139,0.172332123,0.013824239,0.226158844,0.283125801,0.283368007,0.216429403,0.28263658,0.254021045,0.719591763,0.552029354,0.978713763,0.677444285,0.454014751,0.467467822
random106,35.0,84.0,46.0,29.0,81.0,96.0,89.0,78.0,69.0,90.0,99.0,85.0,72.0,36.0,21.0,24.0,90.0,85.0,53.0,29.0,7.0,47.0,97.0,26.0,86.0,41.0,80.0,64.0,75.0,60.0,90.0,41.0,27.0,55.0,97.0,8.0,99.0,70.0,30.0,38.0,51.0,84.0,22.0,62.0,2.0,68.0,30.0,11.0,78.0,56.0,21.0,20.0,37.0,17.0,1.0,17.0,91.0,20.0,1.0,95.0
random107,2.0,8.0,10.0,3.0,5.0,5.0,5.0,7.0,2.0,9.0,2.0,7.0,1.0,10.0,7.0,9.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,6.0,1.0,2.0,9.0,6.0,0.0,3.0,2.0,10.0,6.0,6.0,5.0,3.0,5.0,5.0,3.0,4.0,10.0,4.0,7.0,5.0,0.0,1.0,7.0,5.0,4.0,8.0,0.0,4.0,6.0,4.0,0.0,2.0,9.0,6.0
random108,0.050201909,0.707680037,0.356664692,0.180471006,0.307105704,0.027319614,0.394115627,0.230281419,0.394533827,0.180577982,0.954929463,0.533179201,0.764572869,0.275162585,0.831954417,0.022245813,0.54674734,0.751518366,0.656499166,0.042591609,0.383529367,0.948835985,0.544335586,0.49235703,0.021874832,0.986590741,0.916680135,0.109533843,0.54894218,0.738343709,0.847984214,0.677944456,0.422920136,0.58525302,0.177361622,0.509809458,0.071200909,0.375016074,0.622562827,0.362415395,0.365092631,0.109806409,0.384957433,0.607818146,0.247200386,0.994543816,0.858051165,0.683770248,0.253077412,0.394738755,0.78839516,0.307658613,0.984244371,0.496099429,0.556672016,0.825730572,0.900050904,0.854869416,0.803000733,0.974232011
random109,0.961481824,0.505889286,0.843649366,0.300054456,0.964612431,0.819471799,0.342362951,0.904918114,0.611659388,0.038437925,0.970818247,0.042692085,0.206331546,0.928417645,0.365709025,0.050587708,0.576632419,0.780282166,0.256559188,0.826199637,0.154987404,0.561258763,0.688139963,0.512331392,0.990469845,0.245132433,0.422863991,0.163401124,0.556101987,0.107533096,0.803162176,0.228068005,0.056571266,0.204678865,0.342375461,0.607039935,0.738544201,0.79956177,0.783115906,0.676295763,0.239475376,0.255423127,0.488685617,0.632268389,0.89347934,0.402276832,0.936787584,0.106024257,0.309325087,0.11703252,0.362819027,0.215286498,0.477246395,0.196494456,0.089870162,0.175425699,0.941901406,0.816511248,0.375310105,0.166089593
random11,1.0,3.0,5.0,4.0,5.0,9.0,2.0,2.0,10.0,10.0,0.0,7.0,5.0,9.0,5.0,1.0,5.0,5.0,7.0,1.0,4.0,9.0,9.0,1.0,6.0,7.0,9.0,8.0,6.0,6.0,7.0,9.0,6.0,5.0,0.0,5.0,10.0,10.0,1.0,9.0,0.0,8.0,10.0,9.0,7.0,7.0,2.0,4.0,8.0,3.0,8.0,8.0,1.0,5.0,6.0,3.0,1.0,1.0,0.0,9.0
random110,75.0,64.0,19.0,86.0,45.0,30.0,44.0,81.0,18.0,70.0,48.0,44.0,90.0,51.0,71.0,26.0,85.0,72.0,94.0,76.0,6.0,30.0,0.0,6.0,14.0,35.0,25.0,79.0,56.0,46.0,93.0,9.0,7.0,82.0,45.0,86.0,43.0,72.0,31.0,65.0,0.0,2.0,93.0,58.0,38.0,87.0,71.0,89.0,75.0,42.0,65.0,8.0,64.0,85.0,19.0,6.0,81.0,14.0,47.0,41.0
random111,7.0,6.0,2.0,4.0,10.0,9.0,4.0,3.0,5.0,10.0,2.0,5.0,1.0,9.0,0.0,3.0,9.0,8.0,10.0,4.0,2.0,4.0,3.0,9.0,9.0,0.0,3.0,3.0,0.0,4.0,2.0,8.0,5.0,10.0,10.0,6.0,7.0,1.0,1.0,9.0,10.0,8.0,7.0,0.0,1.0,2.0,0.0,10.0,1.0,7.0,3.0,4.0,8.0,10.0,4.0,0.0,7.0,9.0,5.0,7.0
random112,0.173783263,0.766324551,0.552589595,0.521142524,0.218015833,0.540911339,0.359745425,0.250653484,0.241673562,0.177527279,0.508094508,0.190931582,0.575037608,0.406009221,0.481154278,0.706658213,0.559272844,0.057076522,0.929567298,0.284448673,0.207347554,0.291301451,0.560795176,0.433286353,0.721571044,0.267310855,0.300945531,0.377859759,0.953386704,0.648731816,0.129981637,0.475760518,0.209007991,0.009840601,0.842417335,0.460279167,0.788580868,0.33287118,0.650704846,0.660227098,0.036779816,0.555572856,0.876181385,0.45463216,0.36087182,0.443800144,0.640292539,0.485698629,0.659337589,0.329590495,0.354400364,0.850570013,0.232855696,0.318311775,0.453056872,0.667351286,0.53896531,0.090329498,0.355335922,0.80536144
random113,0.382450279,0.813806941,0.131450214,0.263841592,0.588501128,0.945035501,0.111969922,0.936728873,0.91066078,0.511945571,0.055329959,0.432610548,0.425759711,0.781091285,0.557850624,0.507065526,0.943950191,0.17463978,0.182421885,0.40560808,0.378602987,0.087255495,0.783540811,0.612490865,0.346583855,0.65170342,0.210209907,0.681797325,0.982236509,0.51219005,0.448186504,0.705661352,0.505773269,0.801806586,0.501546677,0.971136271,0.329731603,0.363243217,0.684434149,0.064004481,0.783924196,0.456329667,0.743880717,0.436860076,0.208359122,0.120437104,0.250858155,0.274941609,0.507811414,0.719786752,0.290768823,0.415517607,0.270735456,0.621947458,0.696710069,0.817386681,0.717151242,0.046253941,0.996519125,0.02775289
random114,60.0,15.0,19.0,20.0,37.0,91.0,95.0,29.0,38.0,27.0,73.0,98.0,8.0,20.0,79.0,38.0,48.0,36.0,69.0,96.0,100.0,55.0,55.0,61.0,31.0,29.0,17.0,59.0,84.0,4.0,93.0,80.0,57.0,22.0,38.0,11.0,100.0,56.0,10.0,41.0,79.0,37.0,29.0,44.0,100.0,83.0,99.0,34.0,84.0,95.0,75.0,88.0,51.0,74.0,9.0,33.0,14.0,81.0,47.0,97.0
random115,1.0,6.0,7.0,6.0,8.0,8.0,2.0,9.0,9.0,8.0,7.0,9.0,5.0,7.0,7.0,2.0,7.0,5.0,7.0,0.0,3.0,10.0,10.0,10.0,2.0,1.0,9.0,6.0,7.0,4.0,4.0,0.0,2.0,0.0,9.0,5.0,1.0,10.0,0.0,7.0,4.0,2.0,4.0,6.0,6.0,2.0,7.0,8.0,10.0,8.0,6.0,10.0,0.0,8.0,3.0,4.0,7.0,3.0,9.0,8.0
random116,0.072440594,0.232296152,0.768959806,0.396022696,0.858291562,0.337675009,0.136431847,0.318025357,0.03723501,0.250587904,0.879949828,0.053478455,0.847993802,0.493912731,0.422616344,0.771615995,0.278185254,0.797553129,0.241246927,0.565164831,0.847986671,0.293225602,0.222131036,0.888294339,0.347585519,0.972376056,0.096697063,0.578151533,0.800706902,0.406692459,0.649588874,0.396062483,0.622334431,0.378256339,0.759813084,0.192176931,0.740976607,0.41148939,0.708934895,0.373704017,0.590029535,0.468547061,0.741793005,0.216798563,0.587031737,0.984978384,0.160089368,0.521778587,0.827416279,0.552598896,0.188529551,0.121962412,0.406156807,0.481685596,0.736739406,0.048018314,0.280240039,0.945901528,0.68349106,0.909358666
random117,0.59949903,0.66421726,0.373902954,0.6604758,0.472720681,0.130834548,0.302699434,0.159858094,0.195802623,0.64859883,0.473608592,0.851614641,0.695249018,0.922213264,0.380991194,0.436009301,0.501984058,0.192234671,0.524278729,0.410741544,0.645202272,0.024350212,0.061708058,0.955013317,0.599155167,0.123869365,0.918376376,0.748088607,0.906852387,0.129377714,0.621985115,0.813309031,0.563962082,0.820522942,0.702306615,0.174076709,0.067792399,0.408835581,0.930714704,0.756030482,0.369760052,0.35492132,0.454398975,0.819875259,0.113569559,0.203685288,0.082557842,0.699087684,0.541215199,0.339826144,0.612673173,0.811609329,0.30888091,0.422231951,0.932237479,0.577065592,0.21771751,0.046602957,0.62265285,0.123100964
random118,89.0,27.0,22.0,72.0,13.0,4.0,27.0,30.0,66.0,15.0,18.0,30.0,6.0,10.0,45.0,15.0,88.0,73.0,93.0,81.0,59.0,33.0,85.0,46.0,16.0,91.0,21.0,19.0,54.0,33.0,84.0,48.0,31.0,84.0,87.0,47.0,64.0,48.0,68.0,54.0,11.0,87.0,83.0,68.0,82.0,99.0,10.0,31.0,70.0,64.0,91.0,47.0,43.0,2.0,47.0,72.0,65.0,87.0,44.0,57.0
random119,3.0,1.0,0.0,10.0,6.0,7.0,6.0,1.0,8.0,1.0,9.0,7.0,0.0,10.0,1.0,2.0,5.0,2.0,6.0,0.0,8.0,2.0,2.0,3.0,3.0,8.0,3.0,7.0,8.0,8.0,4.0,3.0,7.0,6.0,3.0,4.0,5.0,9.0,2.0,6.0,5.0,0.0,5.0,4.0,0.0,7.0,7.0,10.0,5.0,2.0,4.0,7.0,0.0,3.0,7.0,3.0,10.0,7.0,2.0,3.0
random12,0.923837269,0.95070814,0.007490271,0.934236451,0.976829597,0.463375274,0.377126414,0.707609752,0.009354571,0.482545793,0.047900433,0.746275511,0.990545341,0.26262758,0.371053331,0.491387232,0.695683981,0.095545279,0.490439228,0.426797395,0.153883614,0.19348349,0.342201909,0.012288535,0.737495699,0.501893562,0.930859095,0.008092677,0.493622611,0.537536369,0.435051581,0.911863105,0.089383013,0.397834436,0.265835724,0.62234902,0.331159073,0.423388248,0.645133574,0.707117942,0.512453615,0.306989635,0.695453988,0.338994563,0.691533721,0.703953933,0.901667866,0.257419831,0.468950507,0.895125333,0.57752468,0.912666304,0.865226322,0.58256486,0.904130224,0.754086229,0.239891914,0.039422956,0.545556897,0.359007936
random120,0.975452099,0.387628044,0.665960513,0.622191219,0.910188406,0.057115182,0.410156074,0.679119176,0.418983473,0.295103121,0.24163767,0.278701723,0.249821296,0.668310862,0.156702614,0.994443961,0.936437722,0.510528326,0.966510928,0.415378896,0.890991773,0.440996541,0.842355587,0.427865922,0.18547553,0.794622599,0.645010358,0.637527133,0.330474203,0.924650332,0.73704517,0.927136883,0.661799303,0.13017736,0.149905883,0.816747261,0.75920945,0.932124167,0.265659292,0.122258582,0.293718144,0.364857138,0.795437083,0.697703395,0.942516425,0.122929558,0.837456083,0.351282605,0.434443672,0.112791555,0.189233755,0.244118031,0.970500814,0.850875776,0.908739394,0.324693476,0.379271888,0.288335127,0.651474515,0.08809605
random121,0.157823001,0.886805367,0.992389271,0.087716654,0.149681459,0.997185412,0.146960265,0.170083672,0.934131722,0.055941402,0.427873912,0.636347056,0.936894386,0.800196213,0.267533458,0.627571573,0.39775975,0.399000524,0.082272211,0.796984513,0.600723478,0.026849539,0.758922502,0.200935485,0.40598453,0.101232145,0.753598128,0.921585246,0.301175172,0.658288542,0.487044737,0.051694095,0.867515135,0.824486893,0.056855846,0.374109654,0.817939351,0.055558404,0.408959493,0.991574953,0.656644653,0.256980775,0.16446734,0.281531316,0.395691591,0.268960777,0.574985176,0.386632042,0.427561499,0.067420639,0.675690288,0.470209307,0.391066625,0.021590811,0.459064896,0.564107735,0.826829072,0.107031823,0.532575617,0.392707918
random122,28.0,3.0,31.0,10.0,83.0,38.0,22.0,85.0,45.0,100.0,98.0,88.0,58.0,62.0,2.0,91.0,45.0,89.0,98.0,64.0,63.0,84.0,1.0,34.0,35.0,78.0,69.0,12.0,12.0,96.0,6.0,22.0,76.0,89.0,62.0,90.0,51.0,45.0,13.0,70.0,3.0,63.0,11.0,67.0,43.0,29.0,29.0,1.0,17.0,28.0,51.0,58.0,36.0,26.0,10.0,79.0,37.0,57.0,73.0,58.0
random123,7.0,0.0,1.0,8.0,7.0,5.0,8.0,9.0,2.0,4.0,7.0,4.0,0.0,1.0,1.0,6.0,10.0,3.0,3.0,4.0,0.0,10.0,7.0,3.0,2.0,2.0,8.0,0.0,8.0,10.0,2.0,0.0,1.0,9.0,8.0,10.0,0.0,9.0,7.0,9.0,1.0,5.0,1.0,1.0,5.0,9.0,0.0,3.0,0.0,3.0,0.0,8.0,0.0,0.0,2.0,3.0,5.0,7.0,9.0,2.0
random124,0.902234317,0.054078888,0.80225608,0.893955521,0.170754642,0.75720318,0.235171662,0.679547177,0.93799973,0.715065905,0.413336272,0.422093172,0.392551913,0.312394395,0.134246004,0.747436535,0.473086046,0.626778,0.027492175,0.659095078,0.957972539,0.440994569,0.095767567,0.581252736,0.014904033,0.731722318,0.230076271,0.021276628,0.596804904,0.495915256,0.490077092,0.409524801,0.259380826,0.109974221,0.649071286,0.26909284,0.794851241,0.366936873,0.60467971,0.828680184,0.06515287,0.458624595,0.62003145,0.933416595,0.669813374,0.517279075,0.10999014,0.656384063,0.993141792,0.071924461,0.229103726,0.102367787,0.17182297,0.249798854,0.348182676,0.67501915,0.011980395,0.059486849,0.650511197,0.078763324
random125,0.703026356,0.307323129,0.668630398,0.510145371,0.63673104,0.20495587,0.209707205,0.826196197,0.922638147,0.612737757,0.477730749,0.182413144,0.738152695,0.311506905,0.500079076,0.473768501,0.504240397,0.9489229,0.598412192,0.546536476,0.954770422,0.532860148,0.888207849,0.853671334,0.560218886,0.7415942,0.854610428,0.629308273,0.003897078,0.570140881,0.36897817,0.899615075,0.582455773,0.410829464,0.941619037,0.367775527,0.062123134,0.952498511,0.448086382,0.383069724,0.720297625,0.894030055,0.405103924,0.572369806,0.587689774,0.408025835,0.566856715,0.043082172,0.683065984,0.801358997,0.145940993,0.737842133,0.727429896,0.908865452,0.783471656,0.500620211,0.110407098,0.477277854,0.886177931,0.8893412
