feature_id,bunderbosbeek_1,bunderbosbeek_2,bunderbosbeek_3,bunderbosbeek_4,bunderbosbeek_5,bunderbosbeek_6,bunderbosbeek_7,bunderbosbeek_8,bunderbosbeek_9,bunderbosbeek_10,bunderbosbeek_11,bunderbosbeek_12,bunderbosbeek_13,bunderbosbeek_14,bunderbosbeek_15,oude beek goede tak_1,oude beek goede tak_2,oude beek goede tak_3,oude beek goede tak_4,oude beek goede tak_5,oude beek goede tak_6,oude beek goede tak_7,oude beek goede tak_8,oude beek goede tak_9,oude beek goede tak_10,oude beek goede tak_11,oude beek goede tak_12,oude beek goede tak_13,oude beek goede tak_14,seelbeek_1,seelbeek_2,seelbeek_3,seelbeek_4,seelbeek_5,seelbeek_6,seelbeek_7,seelbeek_8,seelbeek_9,seelbeek_10,seelbeek_11,seelbeek_12,seelbeek_13,seelbeek_14,seelbeek_15,seelbeek_16,strabekervloedgraaf_1,strabekervloedgraaf_2,strabekervloedgraaf_3,strabekervloedgraaf_4,strabekervloedgraaf_5,strabekervloedgraaf_6,strabekervloedgraaf_7,strabekervloedgraaf_8,strabekervloedgraaf_9,strabekervloedgraaf_10,strabekervloedgraaf_11,strabekervloedgraaf_12,strabekervloedgraaf_13,strabekervloedgraaf_14,strabekervloedgraaf_15
nh4,0.034,0.044,0,0.111,0,0,0,0,0,0,0.07,0,0,0,0.038,0,0,0,0,0,0.043,0,0,0,0.031,0,0,0.03,0,0.061,0,0,0.04,0.058,0.036,0.067,0.071,0.04,0.038,0.04,0.111,0.053,0,0.042,0.03,0.064,0,0,0.103,0.063,0.046,0,0,0,0.031,0.073,0.033,0,0,0.035
no2,0,0,0,0,0.003,0,0,0,0.004,0.005,0,0,0,0,0,0.015,0,0,0,0,0,0.003,0,0.002,0,0,0,0,0,0.019,0.011,0.016,0.024,0.034,0,0.036,0.041,0.024,0.024,0.052,0.014,0,0.012,0.013,0.011,0.004,0.015,0.014,0.041,0.029,0.04,0.02,0.007,0.045,0.036,0.021,0.015,0.005,0,0.0016
no3,17.7,18.6,17,18,19.8,17.5,18.4,16.3,17.8,20.3,16.6,19.3,19.1,16,19.7,17.6,5.9,6,6.1,6.1,6.3,6.6,6.4,6.9,5.3,6.52,6.39,6.46,6.29,0,11.2,11.1,8.9,10.7,12.1,11.6,10.6,10.7,12.4,11.5,10.1,11.7,13.6,12.4,7.34,15.5,17.6,17.6,15.9,18.2,15.4,18.5,19.5,16.9,17.1,17.6,19.8,13.2,20.1,22
po4_ort,0.028,0.032,0.024,0.028,0.012,0.027,0.021,0.023,0.022,0.031,0.083,0.026,0.027,0.032,0.043,0.006,0,0.006,0,0,0.007,0.023,0.009,0.007,0.006,0.017,0.006,0,0,0.011,0,0.008,0.009,0,0,0.006,0.009,0.007,0.018,0.009,0.006,0.006,0,0,0,0.013,0,0.006,0.008,0.006,0.011,0.011,0.007,0.012,0.014,0.011,0.006,0,0,0
po4_tot,0.031,0.038,0.025,0.032,0.061,0.061,0.064,0.059,0.027,0.054,0.064,0,0,0.022,0,0,1.84,0,0.054,0.022,0.026,0.075,0.028,0,0,0,0,0,0,0.022,0,0,0,0,0.025,0,0.023,0.039,0.027,0,0,0,0,0.09,0,0.025,0,0,0,0.048,0.058,0.039,0.039,0.085,0.069,0,0,0,0,0
so3,113,110,110,133,121,121,121,122,124,120,116,123,118,114,119,15.2,15.8,15.6,15,14.9,14.8,15,15.1,15.2,14.6,15.6,13.8,15.2,15.4,39.4,40.6,40.3,38.3,41.3,40.5,40.7,40,40.8,42,40.8,36.8,40.1,39.2,41.8,37.9,68,73.8,75.7,71.9,79,73.3,71.4,77.8,72.4,73.9,76.3,76.4,71.5,76.9,80.4
fe,0,0,0,0,0,0,0,0,0.006,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.01,0,0,0,0.011,0,0,0,0,0.007,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0.007,0.009,0.006,0,0,0,0
co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random1,0.464922297,0.367684617,0.412146364,0.234176987,0.542178172,0.933263503,0.610975535,0.031422724,0.850142267,0.60899623,0.100865628,0.866963903,0.424264748,0.871544899,0.869599845,0.833772116,0.879535837,0.326025732,0.960417003,0.860062501,0.778582828,0.297550099,0.753046529,0.65985522,0.260711059,0.977121755,0.055328026,0.875717326,0.886290457,0.569679786,0.99412601,0.209007336,0.189376428,0.084986265,0.961725011,0.492264846,0.61420113,0.883452035,0.589817266,0.742464056,0.69240937,0.246586779,0.405526323,0.908848927,0.966937077,0.929092462,0.577325856,0.779134823,0.79154812,0.676037285,0.50441997,0.493440415,0.574464592,0.840941391,0.400350283,0.398018565,0.661711745,0.461330247,0.133637802,0.736726376
random2,30,77,82,47,76,72,35,89,24,80,38,24,52,41,85,39,3,94,26,88,17,60,24,60,44,54,94,39,79,67,79,36,12,55,1,88,19,66,39,76,43,2,20,21,71,41,75,80,62,74,75,38,10,75,71,67,24,47,62,38
random3,5,6,8,3,7,2,6,7,5,8,7,4,2,1,6,0,7,0,1,2,0,8,0,5,2,0,3,9,10,3,8,6,1,10,3,6,1,8,10,6,9,4,10,0,5,4,7,6,7,4,3,2,0,7,3,3,4,5,8,9
random4,0.660672067,0.957854445,0.658130921,0.285287994,0.528622664,0.381754907,0.790076709,0.826163810,0.609376277,0.325076961,0.808806828,0.768143760,0.908734706,0.716305945,0.001832589,0.699127621,0.284481763,0.388622814,0.548120201,0.691390050,0.719320493,0.227906552,0.309978113,0.750523648,0.950873708,0.217414857,0.484429987,0.609367366,0.703918996,0.675862513,0.076437231,0.098602600,0.787167671,0.490652859,0.830922680,0.880987374,0.243695000,0.186606429,0.493408355,0.389594219,0.346740957,0.756576400,0.831800181,0.844749299,0.413122913,0.007716729,0.162470593,0.152085785,0.872620873,0.119820163,0.254668805,0.837602167,0.378862039,0.360604275,0.528948740,0.547944103,0.341793382,0.533561914,0.752350703,0.575900098
random5,0.031811524,0.701290442,0.981412204,0.899236468,0.335029956,0.497129267,0.969661979,0.839996758,0.749862053,0.205430631,0.363529318,0.317799201,0.059581485,0.672506735,0.131879716,0.275265407,0.440819021,0.396709423,0.805767189,0.122499942,0.686531325,0.063640076,0.593371351,0.142332719,0.028863797,0.445036546,0.063255352,0.550294949,0.522124913,0.83402302,0.273438801,0.102783879,0.530882991,0.421435235,0.321958975,0.283747616,0.45140668,0.963221297,0.414225642,0.425006702,0.951362393,0.091679683,0.710300322,0.546039152,0.050174578,0.929252493,0.730221153,0.802909874,0.175052963,0.263034693,0.678950877,0.257011372,0.208527403,0.657270519,0.042854682,0.563405433,0.517822554,0.858773667,0.648887002,0.266698916
random6,51,33,9,57,15,62,42,97,80,45,68,95,44,54,65,97,67,15,24,29,47,86,40,64,45,88,69,48,22,3,58,85,45,17,18,26,35,71,19,33,61,38,88,7,52,89,58,95,91,69,63,17,9,72,76,24,2,64,80,33
random7,8,9,0,6,5,5,9,6,9,9,7,10,8,8,9,10,0,10,1,5,0,8,9,7,0,7,4,2,7,2,10,5,10,9,6,2,6,1,4,10,2,10,8,8,7,5,8,3,8,9,2,3,0,3,0,9,1,8,7,4
random8,0.268642991,0.833843087,0.696264886,0.235230920,0.091561866,0.983286484,0.139763447,0.528240416,0.455032590,0.479809438,0.718749273,0.457134647,0.848992469,0.746520957,0.840162007,0.080081778,0.509145669,0.821927415,0.726153065,0.853566509,0.998690144,0.813162841,0.320496729,0.041504933,0.027447183,0.489419599,0.961577782,0.598735177,0.359103453,0.474662410,0.913085012,0.686930789,0.987990880,0.551151821,0.018115460,0.977788520,0.204722675,0.889719575,0.482883453,0.072860580,0.942149149,0.057798073,0.201118172,0.268377358,0.763361443,0.095794976,0.985556239,0.859091276,0.433733706,0.190302483,0.699657648,0.160243450,0.568221709,0.993485886,0.180644281,0.979666692,0.042217361,0.801318232,0.054749939,0.585326101
random9,0.285167555,0.942890653,0.797223344,0.177017355,0.951297789,0.314595392,0.65182617,0.24359801,0.661474032,0.204809464,0.274570528,0.848410271,0.172251519,0.816122625,0.831208861,0.527684879,0.120693112,0.74971111,0.046140771,0.460100052,0.506802717,0.378720376,0.504334091,0.201331248,0.831117248,0.54493841,0.233030535,0.648341662,0.85678432,0.55933177,0.288200782,0.528227081,0.063428348,0.429680141,0.712622438,0.810766046,0.259396791,0.831824498,0.357128065,0.442381425,0.042556627,0.508672079,0.59868269,0.109822253,0.586762379,0.208690567,0.302569096,0.451499183,0.19496967,0.073379414,0.103197655,0.988575057,0.352487852,0.028757212,0.487656831,0.575342027,0.010380089,0.380400231,0.382497717,0.210404055
random10,48,96,67,51,78,2,69,76,53,32,96,8,13,46,46,97,98,71,99,36,79,5,59,88,91,59,26,47,28,8,24,85,43,5,37,41,86,37,76,67,47,64,67,58,37,14,37,62,29,60,3,64,94,60,42,26,72,47,15,47
random11,4,2,6,2,5,0,1,6,5,2,0,10,6,2,6,3,5,4,9,0,4,10,10,4,3,2,1,2,10,5,5,8,7,2,9,7,9,8,9,0,10,1,8,1,4,2,5,2,10,9,3,1,2,1,7,6,1,6,4,0
random12,0.630020685,0.287306165,0.755547894,0.952095790,0.144854953,0.446294947,0.846367127,0.599129845,0.620688851,0.584459939,0.878117200,0.462398940,0.589677345,0.278529967,0.667483717,0.200743407,0.404679029,0.902661255,0.668941964,0.829022741,0.331114351,0.531686128,0.839146033,0.675861154,0.274090591,0.102307424,0.151505122,0.083735933,0.534274434,0.227912631,0.993632191,0.933934682,0.559104516,0.572679921,0.393360953,0.805894679,0.977117339,0.229658689,0.544048212,0.472581251,0.918507793,0.571068517,0.297690612,0.509709865,0.206713170,0.269367549,0.524157800,0.798610594,0.936617181,0.928080989,0.726591092,0.296405625,0.797446257,0.258336663,0.167118840,0.427651533,0.482369769,0.707486331,0.663390104,0.185856589
random13,0.122800757,0.237622012,0.40400364,0.99133353,0.182884357,0.738457584,0.397307582,0.288827949,0.07700032,0.583200338,0.63569144,0.360658782,0.348758801,0.839328704,0.10504833,0.172845387,0.835046043,0.119213661,0.020597413,0.036908521,0.55989784,0.809159615,0.074468692,0.283643287,0.389702579,0.899302022,0.074489188,0.488501988,0.843528084,0.559099586,0.939047614,0.997168658,0.00529546,0.087986425,0.957534294,0.986601025,0.283844723,0.373092606,0.861600257,0.274216884,0.075036174,0.569308264,0.018148321,0.635345294,0.728437031,0.513342224,0.891093189,0.32867443,0.110256702,0.248053831,0.505903497,0.823802025,0.885779582,0.716402304,0.602032669,0.257472832,0.905140224,0.980165651,0.122095301,0.618298121
random14,67,68,60,54,75,12,36,76,28,55,35,9,47,66,20,68,99,97,78,80,16,99,59,19,33,23,70,5,72,91,35,37,80,13,12,13,19,44,75,66,77,4,97,61,69,38,45,59,38,100,21,52,75,87,16,57,47,51,98,61
random15,6,6,9,7,4,4,0,6,7,3,0,0,3,6,8,8,10,1,3,4,7,2,7,5,3,3,0,9,1,10,9,3,7,3,4,10,0,7,7,7,10,7,4,9,8,7,0,6,8,5,8,5,8,10,2,10,10,2,10,1
random16,0.877441206,0.833914086,0.226233002,0.016413679,0.129594144,0.478664728,0.099925994,0.794253601,0.486727933,0.998767567,0.917823661,0.123855324,0.075191994,0.601623632,0.651479279,0.413515197,0.029500201,0.049929861,0.373729037,0.582084189,0.268209249,0.291827176,0.672947645,0.088224307,0.043635207,0.708150267,0.986649265,0.036924157,0.924718489,0.436325856,0.715553516,0.569356253,0.762124126,0.164431080,0.513829894,0.941900933,0.220836928,0.389334007,0.730684232,0.342635403,0.251236271,0.225618420,0.337394705,0.916029089,0.448833325,0.286554712,0.104757600,0.342394299,0.814236674,0.288797465,0.372652897,0.435855510,0.649580762,0.894726148,0.600171710,0.619634454,0.931793609,0.548233301,0.526089691,0.775884969
random17,0.062728666,0.329307063,0.104757208,0.300055548,0.92729737,0.360122209,0.085067085,0.734771027,0.02838752,0.95333359,0.418785144,0.088924583,0.501042179,0.517742766,0.719123635,0.296357312,0.023098737,0.11201806,0.082788338,0.202533126,0.909806962,0.786966886,0.450650664,0.539395955,0.816916968,0.749885766,0.78376191,0.300608668,0.838702189,0.016834664,0.217369757,0.367188835,0.600209909,0.760881442,0.102329241,0.849658012,0.375769522,0.818473271,0.080371088,0.982601817,0.773572496,0.384575887,0.734472283,0.716921996,0.000557593,0.131072773,0.776787867,0.425547399,0.945190766,0.061788178,0.544459078,0.123236692,0.757268077,0.255506214,0.470183838,0.741002522,0.801304274,0.522678556,0.104559206,0.487074903
random18,37,35,39,96,58,80,46,16,71,61,22,64,68,91,6,33,33,76,73,33,9,76,81,47,90,90,37,12,61,97,80,48,81,34,26,90,83,96,54,57,17,68,58,28,38,57,52,15,15,6,12,57,36,1,16,17,77,35,1,98
random19,10,4,7,5,3,9,3,6,5,6,7,6,4,1,10,2,1,1,5,4,2,3,5,8,1,10,7,3,10,6,1,1,3,4,10,1,3,1,6,8,1,2,3,10,3,0,9,9,2,8,2,4,5,9,5,9,2,4,5,4
random20,0.438166273,0.056086296,0.513613793,0.550464980,0.073870402,0.711657068,0.656941802,0.148581984,0.046836004,0.920061576,0.897992823,0.827166058,0.308412359,0.988317991,0.531650810,0.510515127,0.150141357,0.333449601,0.450406607,0.339018119,0.007500846,0.207394974,0.475759365,0.713749987,0.466444943,0.406505442,0.586097416,0.486367486,0.212624663,0.066047449,0.947959646,0.377644248,0.504791461,0.671105376,0.769649788,0.230192332,0.573523092,0.720107718,0.039033489,0.772723928,0.155264701,0.894632338,0.484265791,0.611650165,0.120436584,0.456694620,0.798932424,0.465072930,0.295609866,0.811880493,0.863838757,0.257356031,0.463316943,0.253621498,0.686412211,0.060229747,0.719477291,0.856615734,0.398279282,0.997016088
random21,0.798243157,0.765111495,0.409167049,0.101405365,0.4664337,0.712845044,0.89864093,0.827548271,0.855007619,0.441323777,0.627169979,0.846704829,0.685745291,0.461109998,0.912119871,0.121458397,0.221757365,0.649259744,0.467301221,0.770084527,0.437349831,0.834489499,0.409921631,0.453471373,0.534981649,0.011908724,0.34927084,0.249983969,0.76871587,0.094572498,0.553158874,0.724716909,0.028320537,0.364798446,0.629194053,0.844846988,0.056809433,0.921298025,0.338521922,0.810679923,0.14719051,0.089723048,0.322067054,0.166074592,0.865208785,0.24224222,0.955365356,0.311671508,0.55544277,0.394223766,0.093494793,0.179015585,0.689426608,0.626251498,0.240481935,0.238980289,0.601174734,0.506224793,0.224310574,0.403559445
random22,77,73,36,29,39,95,6,25,10,53,53,100,0,83,15,68,52,63,43,4,52,39,26,75,77,1,81,6,24,49,94,56,59,62,65,95,84,49,89,58,3,100,55,18,100,21,67,35,89,11,47,45,42,33,43,45,55,49,36,27
random23,5,7,0,7,4,7,4,7,8,5,4,7,7,1,1,6,10,5,7,1,5,4,0,1,3,5,5,1,9,6,7,0,5,4,7,7,0,3,4,0,2,4,3,8,4,6,8,3,2,10,10,7,2,2,6,1,8,0,6,9
random24,0.236723674,0.541918923,0.960735903,0.279069289,0.841751722,0.181954834,0.054022431,0.022711894,0.344273142,0.641037841,0.266208143,0.595270211,0.953275592,0.387823285,0.509408202,0.226025861,0.347254235,0.953405189,0.719106696,0.983024450,0.544731461,0.679379473,0.424728711,0.696019889,0.461416901,0.657801959,0.922756899,0.324207853,0.454072718,0.261956850,0.268335661,0.859145894,0.068286267,0.611877243,0.942184537,0.223365496,0.458488380,0.744200909,0.141344487,0.500764310,0.342715109,0.529132501,0.630537452,0.943117521,0.987780711,0.139176494,0.723921350,0.868084458,0.846738445,0.809927890,0.034641547,0.957256117,0.984680008,0.661231514,0.767499944,0.910720913,0.717886232,0.102714942,0.257183347,0.245702351
random25,0.26828493,0.408975865,0.920417217,0.485771107,0.444788639,0.040845531,0.191530444,0.047279266,0.708823267,0.712915208,0.136305785,0.115416813,0.62241397,0.312222517,0.956410064,0.267305484,0.14770378,0.179973476,0.512096001,0.232370999,0.535148347,0.494419942,0.799187417,0.12149153,0.512131494,0.997292614,0.834530832,0.744245165,0.67297644,0.556095775,0.910476309,0.668490269,0.111200282,0.636171969,0.165293654,0.269374155,0.187323604,0.233900476,0.129700382,0.051108853,0.247062495,0.531527906,0.564284428,0.170452359,0.14632361,0.133317895,0.060052268,0.81378815,0.137812936,0.496911551,0.795736024,0.684040531,0.153367072,0.079166262,0.197510084,0.558534575,0.982054757,0.302186991,0.381494749,0.676974014
random26,41,15,34,41,5,17,3,58,9,70,85,12,6,17,63,99,81,2,70,97,22,67,14,96,62,56,1,72,95,45,47,53,74,16,28,78,22,31,42,66,90,28,89,52,0,86,21,92,40,2,10,11,9,54,70,28,70,11,97,49
random27,8,1,1,10,6,2,1,8,4,10,7,3,9,6,2,6,4,6,8,2,7,8,0,2,10,9,4,10,9,0,3,5,9,0,7,3,5,4,2,2,6,2,0,2,1,1,1,2,3,8,1,7,1,10,4,0,2,1,8,8
random28,0.105768877,0.020900473,0.648879029,0.862695017,0.751395856,0.345365123,0.375577677,0.687271654,0.349176677,0.571982770,0.286864447,0.398094904,0.319707691,0.790089204,0.031189082,0.808599086,0.845766665,0.108790026,0.574814641,0.036336778,0.696844753,0.899174158,0.339492242,0.667339981,0.226115386,0.641670135,0.685563844,0.305266223,0.202055741,0.033438365,0.001745074,0.522430091,0.704497394,0.417491321,0.064108976,0.597044590,0.762903842,0.238891044,0.933042503,0.011214028,0.546429381,0.290320673,0.612916998,0.358671550,0.501049845,0.009291831,0.304758810,0.512040767,0.313942020,0.903749087,0.573223516,0.399561215,0.129232091,0.720141432,0.495741655,0.799706859,0.720526628,0.007922490,0.057498367,0.540713725
random29,0.970743096,0.591180808,0.949472189,0.939058983,0.164960332,0.728297571,0.581218738,0.047332027,0.689216283,0.864932487,0.205099094,0.600646657,0.368772228,0.468060526,0.971951627,0.310025225,0.828988771,0.233049749,0.318114487,0.925362555,0.127741563,0.488883547,0.246034487,0.385621248,0.799902712,0.044195338,0.239451688,0.995167561,0.120343001,0.172133584,0.718062063,0.023346671,0.109035276,0.877354249,0.487149043,0.450063171,0.990532576,0.499012892,0.19064197,0.491424211,0.393255298,0.823354613,0.393245873,0.965238374,0.299415496,0.841072663,0.723019489,0.561586964,0.376117715,0.138181257,0.675187173,0.039693882,0.102638178,0.81913363,0.058627011,0.679232017,0.560818254,0.774347644,0.868275083,0.227442274
random30,84,86,80,53,4,48,20,52,96,24,87,85,29,22,36,62,42,74,95,98,68,60,7,29,42,67,62,48,99,71,46,61,81,17,54,93,33,83,68,54,57,66,4,11,30,62,31,11,88,65,36,9,17,65,17,25,36,80,39,52
random31,2,7,4,8,3,1,1,9,10,4,2,2,9,8,3,5,3,4,8,6,8,1,2,0,5,3,8,2,4,8,0,2,4,5,8,9,4,0,2,0,1,3,3,8,4,4,4,10,3,7,7,2,4,2,10,2,8,4,10,1
random32,0.937317893,0.848848288,0.999166981,0.619190392,0.861249086,0.156457892,0.855582034,0.195475849,0.377725340,0.985617947,0.543997188,0.877160567,0.460142740,0.503448694,0.353308238,0.356775411,0.837157423,0.886913345,0.679689219,0.461555474,0.719073988,0.335393874,0.005815587,0.311749094,0.130736746,0.911053766,0.583303540,0.253067205,0.602324503,0.202535536,0.548574194,0.638830865,0.768254049,0.924701624,0.761488140,0.371224886,0.234992651,0.373505780,0.453851402,0.466660725,0.922259732,0.104438301,0.957845793,0.223407543,0.022979806,0.501756151,0.433537399,0.431202606,0.733363923,0.246437738,0.036191452,0.641079622,0.028406316,0.404730305,0.972735851,0.387576976,0.616301845,0.947244273,0.948404371,0.590216297
random33,0.978782648,0.123925638,0.564612923,0.619938567,0.414242999,0.03708003,0.447753028,0.602951461,0.630203648,0.885904133,0.004616555,0.591096132,0.719779527,0.160939061,0.403083429,0.95753013,0.216772487,0.923059,0.477260211,0.717269143,0.533902733,0.379472254,0.840998524,0.405238686,0.545101283,0.249473815,0.006671518,0.016576558,0.968332059,0.991781412,0.708421534,0.159681631,0.635729404,0.159578069,0.690979807,0.132855261,0.5258239,0.92063203,0.458470152,0.409970295,0.32929379,0.623835517,0.510335497,0.534701126,0.109214157,0.881924167,0.225714561,0.497721372,0.755890205,0.308491115,0.959781136,0.871888783,0.199001933,0.816245791,0.974651252,0.470734602,0.132444752,0.734454046,0.089841024,0.057682613
random34,50,50,89,73,80,92,82,90,71,11,69,25,83,8,71,88,49,11,92,98,43,92,100,23,70,56,40,42,78,92,58,25,34,28,66,20,64,47,46,90,26,29,31,74,90,15,76,33,22,86,69,41,59,29,42,20,54,20,24,36
random35,2,8,8,5,3,4,10,8,6,9,10,2,10,6,2,5,9,7,9,2,5,1,6,8,10,4,3,2,4,8,6,8,7,10,6,10,1,2,8,2,5,3,1,8,4,6,0,10,3,1,8,4,4,8,0,3,7,1,10,5
random36,0.344870804,0.756982070,0.353988494,0.855233920,0.480643414,0.827804391,0.589559208,0.728235747,0.337668274,0.882994075,0.997416109,0.044176424,0.281530512,0.207364560,0.688134893,0.311963123,0.939037532,0.441497559,0.572609893,0.468209701,0.800843277,0.825557135,0.374554469,0.693494931,0.322131692,0.560412447,0.119775765,0.321709753,0.059409416,0.161194642,0.947905452,0.828382364,0.840542631,0.467333079,0.463729745,0.723983719,0.993186842,0.731927498,0.454718301,0.325235648,0.694045453,0.246053603,0.787196492,0.342902679,0.380430777,0.630151030,0.708524361,0.662959261,0.168049160,0.457953941,0.004535156,0.145485308,0.454438108,0.129650750,0.982250833,0.927185347,0.186145757,0.573951742,0.350161822,0.707577556
random37,0.775374288,0.980248893,0.393336582,0.139497399,0.692619833,0.167302572,0.113870815,0.618690407,0.888000621,0.633640744,0.917274718,0.864602068,0.272954051,0.599847361,0.057856886,0.989309767,0.995431457,0.558548217,0.911844413,0.023496641,0.24682166,0.209291346,0.199826945,0.788941814,0.517450672,0.497472978,0.50497313,0.741045641,0.81587113,0.371990003,0.371599814,0.519807928,0.287327115,0.559968794,0.425166811,0.589917666,0.562157638,0.716444822,0.50652555,0.75763777,0.647417855,0.866440914,0.092765908,0.117396933,0.767491534,0.332727659,0.343357215,0.738745224,0.900371706,0.361775434,0.613028121,0.864373631,0.157293974,0.747234789,0.968852372,0.241137115,0.011186565,0.374189501,0.759521755,0.72100265
